rank,filename,window_start,window_end,frequency,sequence_count,matched,frequency_score,sequence_score,combined_score,mean_max_consecutive_same_source,mean_max_consecutive_same_target,mean_tracing_count,mean_cycle_count,mean_max_consecutive_same_category,mean_sparsity
11,3FTG,279,308,5,2,"{""B3XJ"": [{""window_start"": 36, ""distance"": 1.88}, {""window_start"": 33, ""distance"": 2.04}, {""window_start"": 69, ""distance"": 2.14}, {""window_start"": 39, ""distance"": 2.19}], ""GF46"": [{""window_start"": 243, ""distance"": 2.03}]}",0.24,0.4,0.32,0.4003,0.0,0.244,0.244,0.3567,0.4533
12,4FH6,150,179,4,2,"{""BCFH"": [{""window_start"": 243, ""distance"": 1.62}, {""window_start"": 246, ""distance"": 1.74}, {""window_start"": 276, ""distance"": 1.94}], ""CTVZ"": [{""window_start"": 81, ""distance"": 2.15}]}",0.19,0.4,0.3,0.0,0.04,0.0,0.0,0.3443,0.2467
13,F6RP,60,89,4,2,"{""3FTG"": [{""window_start"": 189, ""distance"": 1.82}, {""window_start"": 192, ""distance"": 2.1}, {""window_start"": 186, ""distance"": 2.12}], ""T4YH"": [{""window_start"": 12, ""distance"": 1.83}]}",0.19,0.4,0.3,0.6673,0.196,0.133,0.0,0.0,0.4973
14,T4YH,12,41,4,2,"{""3FTG"": [{""window_start"": 195, ""distance"": 1.44}, {""window_start"": 189, ""distance"": 1.63}, {""window_start"": 192, ""distance"": 1.63}], ""F6RP"": [{""window_start"": 60, ""distance"": 1.83}]}",0.19,0.4,0.3,0.7937,0.137,0.0297,0.0,0.0,0.413
15,VGBM,330,359,4,2,"{""CTVZ"": [{""window_start"": 87, ""distance"": 1.92}, {""window_start"": 84, ""distance"": 2.13}], ""BCFH"": [{""window_start"": 252, ""distance"": 2.09}, {""window_start"": 255, ""distance"": 2.1}]}",0.19,0.4,0.3,0.489,0.0,0.0,0.0,0.3663,0.4767
16,WY9R,195,224,4,2,"{""ZVZ3"": [{""window_start"": 105, ""distance"": 1.89}, {""window_start"": 102, ""distance"": 2.01}, {""window_start"": 108, ""distance"": 2.19}], ""ZBB2"": [{""window_start"": 273, ""distance"": 2.19}]}",0.19,0.4,0.3,0.8223,0.1013,0.0,0.0,0.4217,0.4847
17,3Y4K,192,221,3,2,"{""ZVZ3"": [{""window_start"": 108, ""distance"": 2.11}, {""window_start"": 111, ""distance"": 2.13}], ""9CKC"": [{""window_start"": 66, ""distance"": 2.19}]}",0.14,0.4,0.27,0.4927,0.2,0.0,0.0,0.316,0.4933
18,B3XJ,99,128,3,2,"{""FHXX"": [{""window_start"": 123, ""distance"": 1.96}], ""4PJR"": [{""window_start"": 87, ""distance"": 2.04}, {""window_start"": 90, ""distance"": 2.08}]}",0.14,0.4,0.27,0.4373,0.1033,0.2193,0.2193,0.4483,0.4053
19,B3XJ,36,65,2,2,"{""3FTG"": [{""window_start"": 279, ""distance"": 1.88}], ""GF46"": [{""window_start"": 243, ""distance"": 2.1}]}",0.1,0.4,0.25,0.594,0.0,0.185,0.0983,0.1023,0.4303
20,DFVJ,48,77,2,2,"{""ZVZ3"": [{""window_start"": 78, ""distance"": 2.01}], ""4PJR"": [{""window_start"": 87, ""distance"": 2.07}]}",0.1,0.4,0.25,0.5277,0.0527,0.297,0.0393,0.6407,0.4967
21,GF46,243,272,2,2,"{""3FTG"": [{""window_start"": 279, ""distance"": 2.03}], ""B3XJ"": [{""window_start"": 36, ""distance"": 2.1}]}",0.1,0.4,0.25,0.6387,0.0,0.187,0.187,0.4523,0.427
22,3FTG,156,185,3,1,"{""CTVZ"": [{""window_start"": 69, ""distance"": 1.8}, {""window_start"": 72, ""distance"": 1.84}, {""window_start"": 66, ""distance"": 2.09}]}",0.14,0.2,0.17,0.4767,0.0,0.1027,0.0,0.2207,0.4973
23,H634,18,47,3,1,"{""CTVZ"": [{""window_start"": 57, ""distance"": 1.84}, {""window_start"": 60, ""distance"": 2.02}, {""window_start"": 63, ""distance"": 2.2}]}",0.14,0.2,0.17,0.682,0.0,0.1077,0.0,0.0,0.479
24,XCDP,111,140,3,1,"{""F6RP"": [{""window_start"": 48, ""distance"": 1.7}, {""window_start"": 51, ""distance"": 1.98}, {""window_start"": 45, ""distance"": 2.04}]}",0.14,0.2,0.17,0.7093,0.1803,0.1147,0.0,0.53,0.488
25,3J3Y,60,89,1,1,"{""ZW7M"": [{""window_start"": 18, ""distance"": 2.19}]}",0.05,0.2,0.12,0.3137,0.1663,0.3383,0.179,0.5973,0.4533
26,4B79,174,203,1,1,"{""CTVZ"": [{""window_start"": 69, ""distance"": 2.18}]}",0.05,0.2,0.12,0.8233,0.0,0.0597,0.0237,0.3613,0.496
27,FHXX,120,149,1,1,"{""B3XJ"": [{""window_start"": 96, ""distance"": 2.13}]}",0.05,0.2,0.12,0.1803,0.2117,0.4327,0.2597,0.7073,0.4547
28,GF46,96,125,1,1,"{""ZBB2"": [{""window_start"": 270, ""distance"": 1.97}]}",0.05,0.2,0.12,0.2637,0.4043,0.0,0.0,0.9507,0.4927
29,H634,168,197,1,1,"{""CTVZ"": [{""window_start"": 57, ""distance"": 2.15}]}",0.05,0.2,0.12,0.4267,0.0,0.421,0.0,0.3317,0.4847
30,J99Y,312,341,1,1,"{""ZBB2"": [{""window_start"": 264, ""distance"": 1.95}]}",0.05,0.2,0.12,0.0,0.4353,0.268,0.0,0.3383,0.436
