window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity
98.0,128.0,0.27,0.0,0.45,0.27,0.82,0.37
99.0,129.0,0.27,0.0,0.45,0.27,0.82,0.37
100.0,130.0,0.27,0.0,0.45,0.27,0.82,0.37
101.0,131.0,0.27,0.0,0.45,0.27,0.82,0.37
102.0,132.0,0.25,0.0,0.5,0.33,0.83,0.4
103.0,133.0,0.25,0.0,0.5,0.33,0.83,0.4
104.0,134.0,0.27,0.0,0.45,0.27,0.91,0.37
105.0,135.0,0.25,0.0,0.42,0.25,0.83,0.4
106.0,136.0,0.25,0.0,0.42,0.25,0.83,0.4
107.0,137.0,0.25,0.0,0.42,0.25,0.83,0.4
108.0,138.0,0.25,0.0,0.42,0.25,0.83,0.4
109.0,139.0,0.23,0.0,0.38,0.23,0.77,0.43
110.0,140.0,0.23,0.0,0.38,0.23,0.77,0.43
111.0,141.0,0.17,0.0,0.42,0.25,0.75,0.4
112.0,142.0,0.17,0.0,0.42,0.25,0.75,0.4
113.0,143.0,0.18,0.0,0.45,0.27,0.73,0.37
114.0,144.0,0.18,0.0,0.45,0.27,0.73,0.37
115.0,145.0,0.2,0.0,0.5,0.3,0.7,0.33
116.0,146.0,0.2,0.0,0.4,0.2,0.6,0.33
117.0,147.0,0.18,0.0,0.36,0.18,0.55,0.37
118.0,148.0,0.18,0.0,0.36,0.18,0.55,0.37
119.0,149.0,0.27,0.0,0.27,0.18,0.45,0.37
120.0,150.0,0.3,0.0,0.3,0.2,0.4,0.33
121.0,151.0,0.3,0.0,0.3,0.2,0.4,0.33
122.0,152.0,0.3,0.0,0.2,0.1,0.4,0.33
123.0,153.0,0.3,0.0,0.2,0.1,0.4,0.33
124.0,154.0,0.3,0.2,0.2,0.1,0.5,0.33
125.0,155.0,0.27,0.27,0.18,0.09,0.55,0.37
126.0,156.0,0.27,0.27,0.18,0.09,0.55,0.37
127.0,157.0,0.25,0.33,0.17,0.08,0.58,0.4
128.0,158.0,0.27,0.36,0.09,0.0,0.64,0.37
129.0,159.0,0.25,0.33,0.08,0.0,0.67,0.4
130.0,160.0,0.25,0.33,0.08,0.0,0.67,0.4
131.0,161.0,0.23,0.31,0.08,0.0,0.69,0.43
132.0,162.0,0.25,0.33,0.08,0.0,0.75,0.4
133.0,163.0,0.23,0.31,0.15,0.08,0.77,0.43
134.0,164.0,0.23,0.31,0.15,0.08,0.77,0.43
135.0,165.0,0.23,0.31,0.08,0.08,0.85,0.43
136.0,166.0,0.23,0.31,0.08,0.08,0.85,0.43
137.0,167.0,0.23,0.31,0.08,0.08,0.92,0.43
138.0,168.0,0.23,0.31,0.08,0.08,0.92,0.43
139.0,169.0,0.25,0.33,0.08,0.08,1.0,0.4
140.0,170.0,0.23,0.31,0.08,0.08,1.0,0.43
141.0,171.0,0.23,0.31,0.08,0.08,1.0,0.43
142.0,172.0,0.21,0.29,0.07,0.07,1.0,0.47
