window_start,window_end,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity
104.0,134.0,0.36,0.0,0.27,0.27,0.36,0.37
105.0,135.0,0.36,0.0,0.27,0.27,0.36,0.37
106.0,136.0,0.3,0.0,0.3,0.3,0.4,0.33
107.0,137.0,0.3,0.0,0.3,0.3,0.4,0.33
108.0,138.0,0.22,0.0,0.33,0.33,0.44,0.3
109.0,139.0,0.22,0.0,0.33,0.33,0.44,0.3
110.0,140.0,0.0,0.0,0.38,0.38,0.5,0.27
111.0,141.0,0.0,0.0,0.38,0.38,0.5,0.27
112.0,142.0,0.0,0.0,0.43,0.43,0.57,0.23
113.0,143.0,0.0,0.0,0.43,0.43,0.57,0.23
114.0,144.0,0.0,0.0,0.5,0.5,0.67,0.2
115.0,145.0,0.0,0.0,0.5,0.5,0.67,0.2
116.0,146.0,0.0,0.0,0.5,0.5,0.67,0.2
117.0,147.0,0.0,0.0,0.4,0.4,0.6,0.17
118.0,148.0,0.0,0.0,0.5,0.5,0.5,0.13
119.0,149.0,0.0,0.0,0.5,0.5,0.5,0.13
120.0,150.0,0.0,0.0,0.33,0.33,0.33,0.1
121.0,151.0,0.0,0.0,0.5,0.5,0.0,0.07
122.0,152.0,0.0,0.0,0.5,0.5,0.0,0.07
123.0,153.0,0.0,0.0,0.5,0.5,0.0,0.07
124.0,154.0,0.0,0.0,0.0,0.0,0.0,0.03
125.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
