rank,filename,window_start,window_end,frequency,unique_count,support,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,matched
11,46FX,62,93,23002,96,0.9897,0.43,0.29,0.14,0.14,0.43,0.23,"{""match_0001"": {""filename"": ""P3XV"", ""window_start"": 364, ""window_end"": 395, ""distance"": 0.0}, ""match_0002"": {""filename"": ""GPHW"", ""window_start"": 60, ""window_end"": 91, ""distance"": 0.0}, ""match_0003"": {""filename"": ""6PW3"", ""window_start"": 238, ""window_end"": 269, ""distance"": 0.0}, ""match_0004"": {""filename"": ""9J7R"", ""window_start"": 173, ""window_end"": 204, ""distance"": 0.0}, ""match_0005"": {""filename"": ""KYVM"", ""window_start"": 187, ""window_end"": 218, ""distance"": 0.0}, ""match_0006"": {""filename"": ""C6PH"", ""window_start"": 109, ""window_end"": 140, ""distance"": 0.003018}, ""match_0007"": {""filename"": ""W4G3"", ""window_start"": 289, ""window_end"": 320, ""distance"": 0.004687}, ""match_0008"": {""filename"": ""3D4B"", ""window_start"": 130, ""window_end"": 161, ""distance"": 0.004687}, ""match_0009"": {""filename"": ""Z2HJ"", ""window_start"": 174, ""window_end"": 205, ""distance"": 0.004687}}"
12,DKBJ,87,118,22972,96,0.9897,0.38,0.25,0.25,0.12,0.5,0.27,"{""match_0001"": {""filename"": ""ZW7M"", ""window_start"": 164, ""window_end"": 195, ""distance"": 0.0}, ""match_0002"": {""filename"": ""XCDP"", ""window_start"": 54, ""window_end"": 85, ""distance"": 0.0}, ""match_0003"": {""filename"": ""7W7C"", ""window_start"": 136, ""window_end"": 167, ""distance"": 0.0}, ""match_0004"": {""filename"": ""9J7R"", ""window_start"": 171, ""window_end"": 202, ""distance"": 0.0}, ""match_0005"": {""filename"": ""DB72"", ""window_start"": 100, ""window_end"": 131, ""distance"": 0.003676}, ""match_0006"": {""filename"": ""Z3TJ"", ""window_start"": 142, ""window_end"": 173, ""distance"": 0.003676}, ""match_0007"": {""filename"": ""J99Y"", ""window_start"": 272, ""window_end"": 303, ""distance"": 0.006172}, ""match_0008"": {""filename"": ""W4G3"", ""window_start"": 113, ""window_end"": 144, ""distance"": 0.006172}}"
13,6PW3,239,270,22960,96,0.9897,0.43,0.29,0.14,0.14,0.43,0.23,"{""match_0001"": {""filename"": ""P3XV"", ""window_start"": 364, ""window_end"": 395, ""distance"": 0.0}, ""match_0002"": {""filename"": ""9J7R"", ""window_start"": 174, ""window_end"": 205, ""distance"": 0.0}, ""match_0003"": {""filename"": ""GPHW"", ""window_start"": 61, ""window_end"": 92, ""distance"": 0.0}, ""match_0004"": {""filename"": ""KYVM"", ""window_start"": 187, ""window_end"": 218, ""distance"": 0.0}, ""match_0005"": {""filename"": ""46FX"", ""window_start"": 62, ""window_end"": 93, ""distance"": 0.0}, ""match_0006"": {""filename"": ""C6PH"", ""window_start"": 105, ""window_end"": 136, ""distance"": 0.003018}, ""match_0007"": {""filename"": ""W4G3"", ""window_start"": 289, ""window_end"": 320, ""distance"": 0.004687}, ""match_0008"": {""filename"": ""Z2HJ"", ""window_start"": 174, ""window_end"": 205, ""distance"": 0.004687}, ""match_0009"": {""filename"": ""3D4B"", ""window_start"": 130, ""window_end"": 161, ""distance"": 0.004687}}"
14,MCZJ,298,329,22933,96,0.9897,0.57,0.29,0.14,0.14,0.57,0.23,"{""match_0001"": {""filename"": ""DB72"", ""window_start"": 91, ""window_end"": 122, ""distance"": 0.0}, ""match_0002"": {""filename"": ""W4G3"", ""window_start"": 111, ""window_end"": 142, ""distance"": 0.0}, ""match_0003"": {""filename"": ""24PR"", ""window_start"": 161, ""window_end"": 192, ""distance"": 0.0}, ""match_0004"": {""filename"": ""3FTG"", ""window_start"": 259, ""window_end"": 290, ""distance"": 0.0}, ""match_0005"": {""filename"": ""CTVZ"", ""window_start"": 313, ""window_end"": 344, ""distance"": 0.002149}}"
15,24PR,163,194,22929,96,0.9897,0.57,0.29,0.14,0.14,0.57,0.23,"{""match_0001"": {""filename"": ""DB72"", ""window_start"": 91, ""window_end"": 122, ""distance"": 0.0}, ""match_0002"": {""filename"": ""MCZJ"", ""window_start"": 298, ""window_end"": 329, ""distance"": 0.0}, ""match_0003"": {""filename"": ""3FTG"", ""window_start"": 259, ""window_end"": 290, ""distance"": 0.0}, ""match_0004"": {""filename"": ""W4G3"", ""window_start"": 111, ""window_end"": 142, ""distance"": 0.0}, ""match_0005"": {""filename"": ""CTVZ"", ""window_start"": 314, ""window_end"": 345, ""distance"": 0.002149}}"
16,GPHW,61,92,22917,96,0.9897,0.43,0.29,0.14,0.14,0.43,0.23,"{""match_0001"": {""filename"": ""46FX"", ""window_start"": 62, ""window_end"": 93, ""distance"": 0.0}, ""match_0002"": {""filename"": ""9J7R"", ""window_start"": 175, ""window_end"": 206, ""distance"": 0.0}, ""match_0003"": {""filename"": ""KYVM"", ""window_start"": 187, ""window_end"": 218, ""distance"": 0.0}, ""match_0004"": {""filename"": ""6PW3"", ""window_start"": 240, ""window_end"": 271, ""distance"": 0.0}, ""match_0005"": {""filename"": ""P3XV"", ""window_start"": 364, ""window_end"": 395, ""distance"": 0.0}, ""match_0006"": {""filename"": ""C6PH"", ""window_start"": 108, ""window_end"": 139, ""distance"": 0.003018}, ""match_0007"": {""filename"": ""W4G3"", ""window_start"": 289, ""window_end"": 320, ""distance"": 0.004687}, ""match_0008"": {""filename"": ""Z2HJ"", ""window_start"": 174, ""window_end"": 205, ""distance"": 0.004687}}"
17,P3XV,364,395,22904,96,0.9897,0.43,0.29,0.14,0.14,0.43,0.23,"{""match_0001"": {""filename"": ""GPHW"", ""window_start"": 61, ""window_end"": 92, ""distance"": 0.0}, ""match_0002"": {""filename"": ""6PW3"", ""window_start"": 240, ""window_end"": 271, ""distance"": 0.0}, ""match_0003"": {""filename"": ""9J7R"", ""window_start"": 174, ""window_end"": 205, ""distance"": 0.0}, ""match_0004"": {""filename"": ""KYVM"", ""window_start"": 187, ""window_end"": 218, ""distance"": 0.0}, ""match_0005"": {""filename"": ""46FX"", ""window_start"": 62, ""window_end"": 93, ""distance"": 0.0}, ""match_0006"": {""filename"": ""C6PH"", ""window_start"": 106, ""window_end"": 137, ""distance"": 0.003018}, ""match_0007"": {""filename"": ""3D4B"", ""window_start"": 131, ""window_end"": 162, ""distance"": 0.004687}}"
18,W4G3,111,142,22898,96,0.9897,0.57,0.29,0.14,0.14,0.57,0.23,"{""match_0001"": {""filename"": ""3FTG"", ""window_start"": 259, ""window_end"": 290, ""distance"": 0.0}, ""match_0002"": {""filename"": ""MCZJ"", ""window_start"": 297, ""window_end"": 328, ""distance"": 0.0}, ""match_0003"": {""filename"": ""DB72"", ""window_start"": 91, ""window_end"": 122, ""distance"": 0.0}, ""match_0004"": {""filename"": ""24PR"", ""window_start"": 161, ""window_end"": 192, ""distance"": 0.0}, ""match_0005"": {""filename"": ""CTVZ"", ""window_start"": 311, ""window_end"": 342, ""distance"": 0.002149}}"
19,7W7C,137,168,22877,96,0.9897,0.38,0.25,0.25,0.12,0.5,0.27,"{""match_0001"": {""filename"": ""ZW7M"", ""window_start"": 164, ""window_end"": 195, ""distance"": 0.0}, ""match_0002"": {""filename"": ""9J7R"", ""window_start"": 172, ""window_end"": 203, ""distance"": 0.0}, ""match_0003"": {""filename"": ""DKBJ"", ""window_start"": 86, ""window_end"": 117, ""distance"": 0.0}, ""match_0004"": {""filename"": ""XCDP"", ""window_start"": 52, ""window_end"": 83, ""distance"": 0.0}, ""match_0005"": {""filename"": ""DB72"", ""window_start"": 100, ""window_end"": 131, ""distance"": 0.003676}, ""match_0006"": {""filename"": ""Z3TJ"", ""window_start"": 142, ""window_end"": 173, ""distance"": 0.003676}, ""match_0007"": {""filename"": ""J99Y"", ""window_start"": 271, ""window_end"": 302, ""distance"": 0.006172}, ""match_0008"": {""filename"": ""W4G3"", ""window_start"": 113, ""window_end"": 144, ""distance"": 0.006172}}"
20,ZW7M,164,195,22842,96,0.9897,0.38,0.25,0.25,0.12,0.5,0.27,"{""match_0001"": {""filename"": ""DKBJ"", ""window_start"": 88, ""window_end"": 119, ""distance"": 0.0}, ""match_0002"": {""filename"": ""XCDP"", ""window_start"": 51, ""window_end"": 82, ""distance"": 0.0}, ""match_0003"": {""filename"": ""9J7R"", ""window_start"": 171, ""window_end"": 202, ""distance"": 0.0}, ""match_0004"": {""filename"": ""7W7C"", ""window_start"": 136, ""window_end"": 167, ""distance"": 0.0}, ""match_0005"": {""filename"": ""DB72"", ""window_start"": 99, ""window_end"": 130, ""distance"": 0.003676}, ""match_0006"": {""filename"": ""Z3TJ"", ""window_start"": 142, ""window_end"": 173, ""distance"": 0.003676}, ""match_0007"": {""filename"": ""W4G3"", ""window_start"": 113, ""window_end"": 144, ""distance"": 0.006172}}"
