rank,filename,window_start,window_end,frequency,unique_count,support,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,matched
11,H634,208,239,2873,92,0.9485,0.38,0.25,0.25,0.12,0.38,0.27,"{""match_0001"": {""filename"": ""DB72"", ""window_start"": 13, ""window_end"": 44, ""distance"": 0.0}, ""match_0002"": {""filename"": ""Z2HJ"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.0}, ""match_0003"": {""filename"": ""4PJR"", ""window_start"": 146, ""window_end"": 177, ""distance"": 0.088318}, ""match_0004"": {""filename"": ""J99Y"", ""window_start"": 108, ""window_end"": 139, ""distance"": 0.088318}, ""match_0005"": {""filename"": ""FZVW"", ""window_start"": 147, ""window_end"": 178, ""distance"": 0.09434}, ""match_0006"": {""filename"": ""XCDP"", ""window_start"": 53, ""window_end"": 84, ""distance"": 0.09434}, ""match_0007"": {""filename"": ""R7Y2"", ""window_start"": 73, ""window_end"": 104, ""distance"": 0.09434}, ""match_0008"": {""filename"": ""3J3Y"", ""window_start"": 66, ""window_end"": 97, ""distance"": 0.1}}"
12,XCDP,238,269,2873,92,0.9485,0.33,0.22,0.22,0.22,0.44,0.3,"{""match_0001"": {""filename"": ""3D4B"", ""window_start"": 133, ""window_end"": 164, ""distance"": 0.0}, ""match_0002"": {""filename"": ""ZCD7"", ""window_start"": 196, ""window_end"": 227, ""distance"": 0.0}, ""match_0003"": {""filename"": ""Z64J"", ""window_start"": 56, ""window_end"": 87, ""distance"": 0.092736}, ""match_0004"": {""filename"": ""4PFM"", ""window_start"": 247, ""window_end"": 278, ""distance"": 0.098489}, ""match_0005"": {""filename"": ""FCG6"", ""window_start"": 214, ""window_end"": 245, ""distance"": 0.098489}, ""match_0006"": {""filename"": ""Z2HJ"", ""window_start"": 173, ""window_end"": 204, ""distance"": 0.11}}"
13,3D4B,134,165,2856,92,0.9485,0.33,0.22,0.22,0.22,0.44,0.3,"{""match_0001"": {""filename"": ""ZCD7"", ""window_start"": 196, ""window_end"": 227, ""distance"": 0.0}, ""match_0002"": {""filename"": ""XCDP"", ""window_start"": 238, ""window_end"": 269, ""distance"": 0.0}, ""match_0003"": {""filename"": ""Z64J"", ""window_start"": 59, ""window_end"": 90, ""distance"": 0.092736}, ""match_0004"": {""filename"": ""4PFM"", ""window_start"": 249, ""window_end"": 280, ""distance"": 0.098489}, ""match_0005"": {""filename"": ""FCG6"", ""window_start"": 213, ""window_end"": 244, ""distance"": 0.098489}}"
14,DB72,14,45,2852,92,0.9485,0.38,0.25,0.25,0.12,0.38,0.27,"{""match_0001"": {""filename"": ""Z2HJ"", ""window_start"": 126, ""window_end"": 157, ""distance"": 0.0}, ""match_0002"": {""filename"": ""H634"", ""window_start"": 208, ""window_end"": 239, ""distance"": 0.0}, ""match_0003"": {""filename"": ""J99Y"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.088318}, ""match_0004"": {""filename"": ""4PJR"", ""window_start"": 146, ""window_end"": 177, ""distance"": 0.088318}, ""match_0005"": {""filename"": ""XCDP"", ""window_start"": 53, ""window_end"": 84, ""distance"": 0.09434}, ""match_0006"": {""filename"": ""R7Y2"", ""window_start"": 73, ""window_end"": 104, ""distance"": 0.09434}, ""match_0007"": {""filename"": ""FZVW"", ""window_start"": 146, ""window_end"": 177, ""distance"": 0.09434}, ""match_0008"": {""filename"": ""3J3Y"", ""window_start"": 65, ""window_end"": 96, ""distance"": 0.1}}"
15,Z2HJ,125,156,2840,92,0.9485,0.38,0.25,0.25,0.12,0.38,0.27,"{""match_0001"": {""filename"": ""DB72"", ""window_start"": 13, ""window_end"": 44, ""distance"": 0.0}, ""match_0002"": {""filename"": ""H634"", ""window_start"": 209, ""window_end"": 240, ""distance"": 0.0}, ""match_0003"": {""filename"": ""J99Y"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.088318}, ""match_0004"": {""filename"": ""4PJR"", ""window_start"": 146, ""window_end"": 177, ""distance"": 0.088318}, ""match_0005"": {""filename"": ""R7Y2"", ""window_start"": 72, ""window_end"": 103, ""distance"": 0.09434}, ""match_0006"": {""filename"": ""FZVW"", ""window_start"": 146, ""window_end"": 177, ""distance"": 0.09434}, ""match_0007"": {""filename"": ""XCDP"", ""window_start"": 53, ""window_end"": 84, ""distance"": 0.09434}, ""match_0008"": {""filename"": ""3J3Y"", ""window_start"": 65, ""window_end"": 96, ""distance"": 0.1}}"
16,MBKT,128,159,2836,92,0.9485,0.38,0.25,0.12,0.12,0.5,0.27,"{""match_0001"": {""filename"": ""FCG6"", ""window_start"": 220, ""window_end"": 251, ""distance"": 0.0}, ""match_0002"": {""filename"": ""Z2HJ"", ""window_start"": 176, ""window_end"": 207, ""distance"": 0.0}, ""match_0003"": {""filename"": ""FVYH"", ""window_start"": 158, ""window_end"": 189, ""distance"": 0.0}, ""match_0004"": {""filename"": ""3D4B"", ""window_start"": 128, ""window_end"": 159, ""distance"": 0.09}, ""match_0005"": {""filename"": ""VGBM"", ""window_start"": 184, ""window_end"": 215, ""distance"": 0.09}, ""match_0006"": {""filename"": ""FZVW"", ""window_start"": 92, ""window_end"": 123, ""distance"": 0.09}, ""match_0007"": {""filename"": ""Z64J"", ""window_start"": 60, ""window_end"": 91, ""distance"": 0.095917}, ""match_0008"": {""filename"": ""ZW7M"", ""window_start"": 163, ""window_end"": 194, ""distance"": 0.106771}, ""match_0009"": {""filename"": ""VCD9"", ""window_start"": 179, ""window_end"": 210, ""distance"": 0.106771}}"
17,Z2HJ,176,207,2820,92,0.9485,0.38,0.25,0.12,0.12,0.5,0.27,"{""match_0001"": {""filename"": ""MBKT"", ""window_start"": 128, ""window_end"": 159, ""distance"": 0.0}, ""match_0002"": {""filename"": ""FCG6"", ""window_start"": 222, ""window_end"": 253, ""distance"": 0.0}, ""match_0003"": {""filename"": ""FVYH"", ""window_start"": 158, ""window_end"": 189, ""distance"": 0.0}, ""match_0004"": {""filename"": ""3D4B"", ""window_start"": 129, ""window_end"": 160, ""distance"": 0.09}, ""match_0005"": {""filename"": ""FZVW"", ""window_start"": 92, ""window_end"": 123, ""distance"": 0.09}, ""match_0006"": {""filename"": ""VGBM"", ""window_start"": 184, ""window_end"": 215, ""distance"": 0.09}, ""match_0007"": {""filename"": ""Z64J"", ""window_start"": 60, ""window_end"": 91, ""distance"": 0.095917}}"
18,FCG6,221,252,2802,92,0.9485,0.38,0.25,0.12,0.12,0.5,0.27,"{""match_0001"": {""filename"": ""Z2HJ"", ""window_start"": 176, ""window_end"": 207, ""distance"": 0.0}, ""match_0002"": {""filename"": ""MBKT"", ""window_start"": 128, ""window_end"": 159, ""distance"": 0.0}, ""match_0003"": {""filename"": ""FVYH"", ""window_start"": 158, ""window_end"": 189, ""distance"": 0.0}, ""match_0004"": {""filename"": ""3D4B"", ""window_start"": 128, ""window_end"": 159, ""distance"": 0.09}, ""match_0005"": {""filename"": ""FZVW"", ""window_start"": 93, ""window_end"": 124, ""distance"": 0.09}, ""match_0006"": {""filename"": ""VGBM"", ""window_start"": 183, ""window_end"": 214, ""distance"": 0.09}, ""match_0007"": {""filename"": ""Z64J"", ""window_start"": 60, ""window_end"": 91, ""distance"": 0.095917}, ""match_0008"": {""filename"": ""24PR"", ""window_start"": 158, ""window_end"": 189, ""distance"": 0.106771}, ""match_0009"": {""filename"": ""ZW7M"", ""window_start"": 162, ""window_end"": 193, ""distance"": 0.106771}, ""match_0010"": {""filename"": ""VCD9"", ""window_start"": 179, ""window_end"": 210, ""distance"": 0.106771}}"
19,FHXX,145,176,2573,92,0.9485,0.2,0.3,0.2,0.1,0.4,0.33,"{""match_0001"": {""filename"": ""WCYT"", ""window_start"": 411, ""window_end"": 442, ""distance"": 0.0}, ""match_0002"": {""filename"": ""ZVZ3"", ""window_start"": 149, ""window_end"": 180, ""distance"": 0.092736}, ""match_0003"": {""filename"": ""WXHK"", ""window_start"": 78, ""window_end"": 109, ""distance"": 0.097468}, ""match_0004"": {""filename"": ""WTV3"", ""window_start"": 225, ""window_end"": 256, ""distance"": 0.098995}}"
20,WCYT,443,474,2555,92,0.9485,0.3,0.3,0.3,0.1,0.4,0.33,"{""match_0001"": {""filename"": ""7W7C"", ""window_start"": 224, ""window_end"": 255, ""distance"": 0.1}, ""match_0002"": {""filename"": ""WXHK"", ""window_start"": 74, ""window_end"": 105, ""distance"": 0.1}, ""match_0003"": {""filename"": ""MGT4"", ""window_start"": 471, ""window_end"": 502, ""distance"": 0.103923}, ""match_0004"": {""filename"": ""Z3TJ"", ""window_start"": 194, ""window_end"": 225, ""distance"": 0.109087}, ""match_0005"": {""filename"": ""RCW6"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.109087}, ""match_0006"": {""filename"": ""CTVZ"", ""window_start"": 274, ""window_end"": 305, ""distance"": 0.113137}}"
