rank,filename,window_start,window_end,frequency,unique_count,support,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,correctness,matched
11,KH2X,170,201,10199,54,0.5567,0.5,0.5,0.25,0.0,0.75,0.67,0.5,"{""match_0001"": {""filename"": ""F4CW"", ""window_start"": 135, ""window_end"": 166, ""distance"": 0.0}, ""match_0002"": {""filename"": ""XCDP"", ""window_start"": 189, ""window_end"": 220, ""distance"": 0.0}, ""match_0003"": {""filename"": ""3Y4K"", ""window_start"": 310, ""window_end"": 341, ""distance"": 0.125}, ""match_0004"": {""filename"": ""3D4B"", ""window_start"": 232, ""window_end"": 263, ""distance"": 0.125}, ""match_0005"": {""filename"": ""3FTG"", ""window_start"": 348, ""window_end"": 379, ""distance"": 0.125}, ""match_0006"": {""filename"": ""4PJR"", ""window_start"": 163, ""window_end"": 194, ""distance"": 0.125}, ""match_0007"": {""filename"": ""4PJR"", ""window_start"": 78, ""window_end"": 109, ""distance"": 0.125}, ""match_0008"": {""filename"": ""6PW3"", ""window_start"": 202, ""window_end"": 233, ""distance"": 0.125}, ""match_0009"": {""filename"": ""4PFM"", ""window_start"": 276, ""window_end"": 307, ""distance"": 0.125}, ""match_0010"": {""filename"": ""9J7R"", ""window_start"": 26, ""window_end"": 57, ""distance"": 0.125}, ""match_0011"": {""filename"": ""ZW7M"", ""window_start"": 283, ""window_end"": 314, ""distance"": 0.122066}, ""match_0012"": {""filename"": ""GPHW"", ""window_start"": 307, ""window_end"": 338, ""distance"": 0.148745}, ""match_0013"": {""filename"": ""D9MH"", ""window_start"": 231, ""window_end"": 262, ""distance"": 0.148745}, ""match_0014"": {""filename"": ""WCYT"", ""window_start"": 443, ""window_end"": 474, ""distance"": 0.148745}, ""match_0015"": {""filename"": ""FZVW"", ""window_start"": 69, ""window_end"": 100, ""distance"": 0.148745}, ""match_0016"": {""filename"": ""F6RP"", ""window_start"": 54, ""window_end"": 85, ""distance"": 0.0}, ""match_0017"": {""filename"": ""MGT4"", ""window_start"": 436, ""window_end"": 467, ""distance"": 0.1}, ""match_0018"": {""filename"": ""Z3TJ"", ""window_start"": 283, ""window_end"": 314, ""distance"": 0.1}, ""match_0019"": {""filename"": ""6PW3"", ""window_start"": 197, ""window_end"": 228, ""distance"": 0.141421}, ""match_0020"": {""filename"": ""ZCD7"", ""window_start"": 58, ""window_end"": 89, ""distance"": 0.141421}}"
12,WY9R,144,175,12803,52,0.5361,0.5,0.0,0.5,0.25,0.75,0.67,0.5,"{""match_0001"": {""filename"": ""FCG6"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.0}, ""match_0002"": {""filename"": ""P3XV"", ""window_start"": 75, ""window_end"": 106, ""distance"": 0.0}, ""match_0003"": {""filename"": ""M964"", ""window_start"": 97, ""window_end"": 128, ""distance"": 0.0}, ""match_0004"": {""filename"": ""MBKT"", ""window_start"": 157, ""window_end"": 188, ""distance"": 0.0}, ""match_0005"": {""filename"": ""ZVZ3"", ""window_start"": 177, ""window_end"": 208, ""distance"": 0.114891}, ""match_0006"": {""filename"": ""XT2P"", ""window_start"": 166, ""window_end"": 197, ""distance"": 0.114891}, ""match_0007"": {""filename"": ""FCG6"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.0}, ""match_0008"": {""filename"": ""WY9R"", ""window_start"": 142, ""window_end"": 173, ""distance"": 0.0}, ""match_0009"": {""filename"": ""P3XV"", ""window_start"": 75, ""window_end"": 106, ""distance"": 0.0}, ""match_0010"": {""filename"": ""M964"", ""window_start"": 97, ""window_end"": 128, ""distance"": 0.0}}"
13,XT2P,72,103,8887,52,0.5361,0.5,0.0,0.0,0.0,0.75,0.67,0.5,"{""match_0001"": {""filename"": ""4B79"", ""window_start"": 275, ""window_end"": 306, ""distance"": 0.0}, ""match_0002"": {""filename"": ""4B79"", ""window_start"": 234, ""window_end"": 265, ""distance"": 0.0}, ""match_0003"": {""filename"": ""4PFM"", ""window_start"": 287, ""window_end"": 318, ""distance"": 0.0}, ""match_0004"": {""filename"": ""9CKC"", ""window_start"": 110, ""window_end"": 141, ""distance"": 0.0}, ""match_0005"": {""filename"": ""B3BV"", ""window_start"": 216, ""window_end"": 247, ""distance"": 0.0}, ""match_0006"": {""filename"": ""6PW3"", ""window_start"": 34, ""window_end"": 65, ""distance"": 0.0}, ""match_0007"": {""filename"": ""KYVM"", ""window_start"": 120, ""window_end"": 151, ""distance"": 0.0}, ""match_0008"": {""filename"": ""FCG6"", ""window_start"": 232, ""window_end"": 263, ""distance"": 0.0}, ""match_0009"": {""filename"": ""CTVZ"", ""window_start"": 283, ""window_end"": 314, ""distance"": 0.0}, ""match_0010"": {""filename"": ""4PFM"", ""window_start"": 286, ""window_end"": 317, ""distance"": 0.0}, ""match_0011"": {""filename"": ""4PJR"", ""window_start"": 33, ""window_end"": 64, ""distance"": 0.0}, ""match_0012"": {""filename"": ""9J7R"", ""window_start"": 127, ""window_end"": 158, ""distance"": 0.0}, ""match_0013"": {""filename"": ""KYVM"", ""window_start"": 151, ""window_end"": 182, ""distance"": 0.0}, ""match_0014"": {""filename"": ""MCZJ"", ""window_start"": 39, ""window_end"": 70, ""distance"": 0.0}, ""match_0015"": {""filename"": ""WH6V"", ""window_start"": 58, ""window_end"": 89, ""distance"": 0.0}, ""match_0016"": {""filename"": ""6PW3"", ""window_start"": 39, ""window_end"": 70, ""distance"": 0.1}, ""match_0017"": {""filename"": ""RXMC"", ""window_start"": 55, ""window_end"": 86, ""distance"": 0.1}, ""match_0018"": {""filename"": ""W4G3"", ""window_start"": 98, ""window_end"": 129, ""distance"": 0.1}, ""match_0019"": {""filename"": ""TGHV"", ""window_start"": 78, ""window_end"": 109, ""distance"": 0.1}, ""match_0020"": {""filename"": ""WH6V"", ""window_start"": 14, ""window_end"": 45, ""distance"": 0.148661}, ""match_0021"": {""filename"": ""J99Y"", ""window_start"": 136, ""window_end"": 167, ""distance"": 0.0}, ""match_0022"": {""filename"": ""6HFK"", ""window_start"": 89, ""window_end"": 120, ""distance"": 0.1}, ""match_0023"": {""filename"": ""D9MH"", ""window_start"": 220, ""window_end"": 251, ""distance"": 0.1}, ""match_0024"": {""filename"": ""F4CW"", ""window_start"": 39, ""window_end"": 70, ""distance"": 0.1}, ""match_0025"": {""filename"": ""GF46"", ""window_start"": 144, ""window_end"": 175, ""distance"": 0.1}, ""match_0026"": {""filename"": ""Z2HJ"", ""window_start"": 68, ""window_end"": 99, ""distance"": 0.108167}, ""match_0027"": {""filename"": ""X2MP"", ""window_start"": 90, ""window_end"": 121, ""distance"": 0.180901}}"
14,9CKC,123,154,7970,52,0.5361,0.5,0.5,0.0,0.0,0.75,0.67,0.25,"{""match_0001"": {""filename"": ""DDKT"", ""window_start"": 171, ""window_end"": 202, ""distance"": 0.0}, ""match_0002"": {""filename"": ""9DF2"", ""window_start"": 64, ""window_end"": 95, ""distance"": 0.0}, ""match_0003"": {""filename"": ""7W7C"", ""window_start"": 157, ""window_end"": 188, ""distance"": 0.0}, ""match_0004"": {""filename"": ""7GZW"", ""window_start"": 118, ""window_end"": 149, ""distance"": 0.0}, ""match_0005"": {""filename"": ""HMP2"", ""window_start"": 106, ""window_end"": 137, ""distance"": 0.0}, ""match_0006"": {""filename"": ""HMP2"", ""window_start"": 150, ""window_end"": 181, ""distance"": 0.0}, ""match_0007"": {""filename"": ""HMP2"", ""window_start"": 149, ""window_end"": 180, ""distance"": 0.0}, ""match_0008"": {""filename"": ""HMP2"", ""window_start"": 151, ""window_end"": 182, ""distance"": 0.0}, ""match_0009"": {""filename"": ""HMP2"", ""window_start"": 152, ""window_end"": 183, ""distance"": 0.0}, ""match_0010"": {""filename"": ""HMP2"", ""window_start"": 153, ""window_end"": 184, ""distance"": 0.0}, ""match_0011"": {""filename"": ""4PJR"", ""window_start"": 127, ""window_end"": 158, ""distance"": 0.0}, ""match_0012"": {""filename"": ""4ZY2"", ""window_start"": 111, ""window_end"": 142, ""distance"": 0.0}, ""match_0013"": {""filename"": ""7GZW"", ""window_start"": 154, ""window_end"": 185, ""distance"": 0.0}, ""match_0014"": {""filename"": ""WY9R"", ""window_start"": 226, ""window_end"": 257, ""distance"": 0.0}, ""match_0015"": {""filename"": ""ZW7M"", ""window_start"": 300, ""window_end"": 331, ""distance"": 0.0}, ""match_0016"": {""filename"": ""6HFK"", ""window_start"": 68, ""window_end"": 99, ""distance"": 0.1}, ""match_0017"": {""filename"": ""J99Y"", ""window_start"": 89, ""window_end"": 120, ""distance"": 0.1}, ""match_0018"": {""filename"": ""R7Y2"", ""window_start"": 104, ""window_end"": 135, ""distance"": 0.123693}, ""match_0019"": {""filename"": ""T4YH"", ""window_start"": 47, ""window_end"": 78, ""distance"": 0.123693}, ""match_0020"": {""filename"": ""ZVZ3"", ""window_start"": 117, ""window_end"": 148, ""distance"": 0.132665}, ""match_0021"": {""filename"": ""ZW7M"", ""window_start"": 310, ""window_end"": 341, ""distance"": 0.1}, ""match_0022"": {""filename"": ""4ZY2"", ""window_start"": 53, ""window_end"": 84, ""distance"": 0.150083}, ""match_0023"": {""filename"": ""6PW3"", ""window_start"": 65, ""window_end"": 96, ""distance"": 0.198305}, ""match_0024"": {""filename"": ""R7Y2"", ""window_start"": 48, ""window_end"": 79, ""distance"": 0.2}, ""match_0025"": {""filename"": ""WXHK"", ""window_start"": 90, ""window_end"": 121, ""distance"": 0.1}, ""match_0026"": {""filename"": ""R7Y2"", ""window_start"": 47, ""window_end"": 78, ""distance"": 0.1}, ""match_0027"": {""filename"": ""4ZY2"", ""window_start"": 53, ""window_end"": 84, ""distance"": 0.124599}, ""match_0028"": {""filename"": ""6PW3"", ""window_start"": 64, ""window_end"": 95, ""distance"": 0.13537}}"
15,KTYJ,19,50,5570,51,0.5258,0.67,0.67,0.0,0.0,0.67,0.73,0.0,"{""match_0001"": {""filename"": ""24PR"", ""window_start"": 235, ""window_end"": 266, ""distance"": 0.0}, ""match_0002"": {""filename"": ""3FTG"", ""window_start"": 273, ""window_end"": 304, ""distance"": 0.0}, ""match_0003"": {""filename"": ""7GZW"", ""window_start"": 119, ""window_end"": 150, ""distance"": 0.0}, ""match_0004"": {""filename"": ""7W7C"", ""window_start"": 159, ""window_end"": 190, ""distance"": 0.0}, ""match_0005"": {""filename"": ""DDKT"", ""window_start"": 173, ""window_end"": 204, ""distance"": 0.0}, ""match_0006"": {""filename"": ""FHXX"", ""window_start"": 81, ""window_end"": 112, ""distance"": 0.0}, ""match_0007"": {""filename"": ""C6PH"", ""window_start"": 189, ""window_end"": 220, ""distance"": 0.0}, ""match_0008"": {""filename"": ""T4YH"", ""window_start"": 356, ""window_end"": 387, ""distance"": 0.0}, ""match_0009"": {""filename"": ""24PR"", ""window_start"": 235, ""window_end"": 266, ""distance"": 0.0}, ""match_0010"": {""filename"": ""3FTG"", ""window_start"": 273, ""window_end"": 304, ""distance"": 0.0}, ""match_0011"": {""filename"": ""3Y4K"", ""window_start"": 337, ""window_end"": 368, ""distance"": 0.0}, ""match_0012"": {""filename"": ""4FH6"", ""window_start"": 145, ""window_end"": 176, ""distance"": 0.0}, ""match_0013"": {""filename"": ""64X9"", ""window_start"": 137, ""window_end"": 168, ""distance"": 0.0}, ""match_0014"": {""filename"": ""4PJR"", ""window_start"": 80, ""window_end"": 111, ""distance"": 0.0}, ""match_0015"": {""filename"": ""BCFH"", ""window_start"": 225, ""window_end"": 256, ""distance"": 0.0}, ""match_0016"": {""filename"": ""BCFH"", ""window_start"": 465, ""window_end"": 496, ""distance"": 0.0}, ""match_0017"": {""filename"": ""BCFH"", ""window_start"": 466, ""window_end"": 497, ""distance"": 0.0}, ""match_0018"": {""filename"": ""BCFH"", ""window_start"": 467, ""window_end"": 498, ""distance"": 0.0}}"
16,Z3TJ,78,109,1007,46,0.4742,0.83,0.0,0.0,0.0,0.33,0.57,0.33,"{""match_0001"": {""filename"": ""6PW3"", ""window_start"": 234, ""window_end"": 265, ""distance"": 0.0}, ""match_0002"": {""filename"": ""F4CW"", ""window_start"": 168, ""window_end"": 199, ""distance"": 0.0}, ""match_0003"": {""filename"": ""R7Y2"", ""window_start"": 67, ""window_end"": 98, ""distance"": 0.074833}, ""match_0004"": {""filename"": ""DFVJ"", ""window_start"": 84, ""window_end"": 115, ""distance"": 0.08}, ""match_0005"": {""filename"": ""B3XJ"", ""window_start"": 123, ""window_end"": 154, ""distance"": 0.08}, ""match_0006"": {""filename"": ""FZVW"", ""window_start"": 119, ""window_end"": 150, ""distance"": 0.08}, ""match_0007"": {""filename"": ""DFVJ"", ""window_start"": 118, ""window_end"": 149, ""distance"": 0.08}, ""match_0008"": {""filename"": ""RXMC"", ""window_start"": 11, ""window_end"": 42, ""distance"": 0.08}, ""match_0009"": {""filename"": ""DFVJ"", ""window_start"": 117, ""window_end"": 148, ""distance"": 0.08}, ""match_0010"": {""filename"": ""ZBB2"", ""window_start"": 25, ""window_end"": 56, ""distance"": 0.08}}"
17,Z2HJ,36,67,12707,42,0.433,0.0,0.67,0.33,0.33,0.67,0.73,0.0,"{""match_0001"": {""filename"": ""3D4B"", ""window_start"": 144, ""window_end"": 175, ""distance"": 0.0}, ""match_0002"": {""filename"": ""9CKC"", ""window_start"": 282, ""window_end"": 313, ""distance"": 0.0}, ""match_0003"": {""filename"": ""CTVZ"", ""window_start"": 267, ""window_end"": 298, ""distance"": 0.0}, ""match_0004"": {""filename"": ""9CKC"", ""window_start"": 518, ""window_end"": 549, ""distance"": 0.0}, ""match_0005"": {""filename"": ""J99Y"", ""window_start"": 307, ""window_end"": 338, ""distance"": 0.0}, ""match_0006"": {""filename"": ""FCG6"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.0}, ""match_0007"": {""filename"": ""YK69"", ""window_start"": 80, ""window_end"": 111, ""distance"": 0.0}, ""match_0008"": {""filename"": ""9CKC"", ""window_start"": 279, ""window_end"": 310, ""distance"": 0.0}, ""match_0009"": {""filename"": ""9CKC"", ""window_start"": 518, ""window_end"": 549, ""distance"": 0.0}, ""match_0010"": {""filename"": ""CTVZ"", ""window_start"": 267, ""window_end"": 298, ""distance"": 0.0}}"
18,WY9R,266,297,694,38,0.3918,0.33,0.0,0.17,0.17,0.83,0.57,0.33,"{""match_0001"": {""filename"": ""BFF9"", ""window_start"": 112, ""window_end"": 143, ""distance"": 0.0}, ""match_0002"": {""filename"": ""W4G3"", ""window_start"": 96, ""window_end"": 127, ""distance"": 0.0}, ""match_0003"": {""filename"": ""KTYJ"", ""window_start"": 215, ""window_end"": 246, ""distance"": 0.0}, ""match_0004"": {""filename"": ""F4CW"", ""window_start"": 160, ""window_end"": 191, ""distance"": 0.08}, ""match_0005"": {""filename"": ""6CGP"", ""window_start"": 37, ""window_end"": 68, ""distance"": 0.08}, ""match_0006"": {""filename"": ""RXMC"", ""window_start"": 109, ""window_end"": 140, ""distance"": 0.08}, ""match_0007"": {""filename"": ""YWTX"", ""window_start"": 233, ""window_end"": 264, ""distance"": 0.08}, ""match_0008"": {""filename"": ""6HFK"", ""window_start"": 13, ""window_end"": 44, ""distance"": 0.085}, ""match_0009"": {""filename"": ""KYVM"", ""window_start"": 154, ""window_end"": 185, ""distance"": 0.085}, ""match_0010"": {""filename"": ""Z3TJ"", ""window_start"": 70, ""window_end"": 101, ""distance"": 0.0}, ""match_0011"": {""filename"": ""WY9R"", ""window_start"": 267, ""window_end"": 298, ""distance"": 0.07}, ""match_0012"": {""filename"": ""B3XJ"", ""window_start"": 101, ""window_end"": 132, ""distance"": 0.121655}, ""match_0013"": {""filename"": ""F4CW"", ""window_start"": 104, ""window_end"": 135, ""distance"": 0.121655}, ""match_0014"": {""filename"": ""DF7J"", ""window_start"": 429, ""window_end"": 460, ""distance"": 0.121655}, ""match_0015"": {""filename"": ""TGHV"", ""window_start"": 227, ""window_end"": 258, ""distance"": 0.121655}, ""match_0016"": {""filename"": ""MBKT"", ""window_start"": 218, ""window_end"": 249, ""distance"": 0.121655}, ""match_0017"": {""filename"": ""ZVZ3"", ""window_start"": 87, ""window_end"": 118, ""distance"": 0.121655}, ""match_0018"": {""filename"": ""9DF2"", ""window_start"": 89, ""window_end"": 120, ""distance"": 0.134164}, ""match_0019"": {""filename"": ""X2MP"", ""window_start"": 270, ""window_end"": 301, ""distance"": 0.134164}, ""match_0020"": {""filename"": ""WH6V"", ""window_start"": 54, ""window_end"": 85, ""distance"": 0.134164}}"
19,C6PH,162,193,4446,38,0.3918,0.0,0.5,0.5,0.25,0.75,0.67,0.25,"{""match_0001"": {""filename"": ""BFF9"", ""window_start"": 84, ""window_end"": 115, ""distance"": 0.0}, ""match_0002"": {""filename"": ""RBKV"", ""window_start"": 214, ""window_end"": 245, ""distance"": 0.0}, ""match_0003"": {""filename"": ""MGT4"", ""window_start"": 456, ""window_end"": 487, ""distance"": 0.0}, ""match_0004"": {""filename"": ""RBKV"", ""window_start"": 180, ""window_end"": 211, ""distance"": 0.114891}, ""match_0005"": {""filename"": ""RBKV"", ""window_start"": 179, ""window_end"": 210, ""distance"": 0.114891}, ""match_0006"": {""filename"": ""3D4B"", ""window_start"": 100, ""window_end"": 131, ""distance"": 0.125}, ""match_0007"": {""filename"": ""3Y4K"", ""window_start"": 329, ""window_end"": 360, ""distance"": 0.125}, ""match_0008"": {""filename"": ""46FX"", ""window_start"": 230, ""window_end"": 261, ""distance"": 0.125}, ""match_0009"": {""filename"": ""6HFK"", ""window_start"": 109, ""window_end"": 140, ""distance"": 0.125}, ""match_0010"": {""filename"": ""BCFH"", ""window_start"": 80, ""window_end"": 111, ""distance"": 0.125}, ""match_0011"": {""filename"": ""GPHW"", ""window_start"": 351, ""window_end"": 382, ""distance"": 0.0}, ""match_0012"": {""filename"": ""BFF9"", ""window_start"": 137, ""window_end"": 168, ""distance"": 0.0}, ""match_0013"": {""filename"": ""ZVZ3"", ""window_start"": 55, ""window_end"": 86, ""distance"": 0.1}, ""match_0014"": {""filename"": ""RXMC"", ""window_start"": 259, ""window_end"": 290, ""distance"": 0.1}, ""match_0015"": {""filename"": ""MCZJ"", ""window_start"": 254, ""window_end"": 285, ""distance"": 0.1}, ""match_0016"": {""filename"": ""3J3Y"", ""window_start"": 30, ""window_end"": 61, ""distance"": 0.141421}}"
20,FCG6,118,149,3239,33,0.3402,0.4,0.4,0.4,0.2,0.8,0.62,0.4,"{""match_0001"": {""filename"": ""7W7C"", ""window_start"": 239, ""window_end"": 270, ""distance"": 0.0}, ""match_0002"": {""filename"": ""M964"", ""window_start"": 126, ""window_end"": 157, ""distance"": 0.0}, ""match_0003"": {""filename"": ""FHXX"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.0}, ""match_0004"": {""filename"": ""WH6V"", ""window_start"": 122, ""window_end"": 153, ""distance"": 0.0}, ""match_0005"": {""filename"": ""4PFM"", ""window_start"": 274, ""window_end"": 305, ""distance"": 0.1}, ""match_0006"": {""filename"": ""4ZY2"", ""window_start"": 135, ""window_end"": 166, ""distance"": 0.1}, ""match_0007"": {""filename"": ""9J7R"", ""window_start"": 168, ""window_end"": 199, ""distance"": 0.1}, ""match_0008"": {""filename"": ""KCDH"", ""window_start"": 78, ""window_end"": 109, ""distance"": 0.1}, ""match_0009"": {""filename"": ""4PJR"", ""window_start"": 77, ""window_end"": 108, ""distance"": 0.1}, ""match_0010"": {""filename"": ""YWTX"", ""window_start"": 125, ""window_end"": 156, ""distance"": 0.1}, ""match_0011"": {""filename"": ""6PW3"", ""window_start"": 194, ""window_end"": 225, ""distance"": 0.085}, ""match_0012"": {""filename"": ""2GXY"", ""window_start"": 120, ""window_end"": 151, ""distance"": 0.113137}, ""match_0013"": {""filename"": ""F6RP"", ""window_start"": 55, ""window_end"": 86, ""distance"": 0.165}, ""match_0014"": {""filename"": ""Z3TJ"", ""window_start"": 270, ""window_end"": 301, ""distance"": 0.165}, ""match_0015"": {""filename"": ""B3XJ"", ""window_start"": 166, ""window_end"": 197, ""distance"": 0.166433}, ""match_0016"": {""filename"": ""ZW7M"", ""window_start"": 52, ""window_end"": 83, ""distance"": 0.193132}, ""match_0017"": {""filename"": ""2GXY"", ""window_start"": 120, ""window_end"": 151, ""distance"": 0.116726}, ""match_0018"": {""filename"": ""MGT4"", ""window_start"": 118, ""window_end"": 149, ""distance"": 0.165}, ""match_0019"": {""filename"": ""MGT4"", ""window_start"": 434, ""window_end"": 465, ""distance"": 0.165}, ""match_0020"": {""filename"": ""MGT4"", ""window_start"": 435, ""window_end"": 466, ""distance"": 0.165}}"
21,7W7C,204,235,1843,32,0.3299,0.0,0.5,0.0,0.0,0.5,0.67,0.75,"{""match_0001"": {""filename"": ""46FX"", ""window_start"": 167, ""window_end"": 198, ""distance"": 0.0}, ""match_0002"": {""filename"": ""4PJR"", ""window_start"": 22, ""window_end"": 53, ""distance"": 0.0}, ""match_0003"": {""filename"": ""FCG6"", ""window_start"": 168, ""window_end"": 199, ""distance"": 0.0}, ""match_0004"": {""filename"": ""DF7J"", ""window_start"": 348, ""window_end"": 379, ""distance"": 0.0}, ""match_0005"": {""filename"": ""RXMC"", ""window_start"": 172, ""window_end"": 203, ""distance"": 0.0}, ""match_0006"": {""filename"": ""GF46"", ""window_start"": 225, ""window_end"": 256, ""distance"": 0.0}, ""match_0007"": {""filename"": ""FZVW"", ""window_start"": 225, ""window_end"": 256, ""distance"": 0.0}, ""match_0008"": {""filename"": ""VGBM"", ""window_start"": 437, ""window_end"": 468, ""distance"": 0.0}, ""match_0009"": {""filename"": ""V3RP"", ""window_start"": 16, ""window_end"": 47, ""distance"": 0.0}, ""match_0010"": {""filename"": ""46FX"", ""window_start"": 167, ""window_end"": 198, ""distance"": 0.0}, ""match_0011"": {""filename"": ""WY9R"", ""window_start"": 257, ""window_end"": 288, ""distance"": 0.0}, ""match_0012"": {""filename"": ""4PJR"", ""window_start"": 19, ""window_end"": 50, ""distance"": 0.1}, ""match_0013"": {""filename"": ""WH3X"", ""window_start"": 58, ""window_end"": 89, ""distance"": 0.1}, ""match_0014"": {""filename"": ""WTV3"", ""window_start"": 208, ""window_end"": 239, ""distance"": 0.1}, ""match_0015"": {""filename"": ""9CKC"", ""window_start"": 132, ""window_end"": 163, ""distance"": 0.1}, ""match_0016"": {""filename"": ""FZVW"", ""window_start"": 224, ""window_end"": 255, ""distance"": 0.2}}"
22,ZBB2,26,57,476,30,0.3093,0.67,0.0,0.17,0.17,0.17,0.57,0.0,"{""match_0001"": {""filename"": ""9DF2"", ""window_start"": 42, ""window_end"": 73, ""distance"": 0.0}, ""match_0002"": {""filename"": ""3FTG"", ""window_start"": 290, ""window_end"": 321, ""distance"": 0.08}, ""match_0003"": {""filename"": ""KTYJ"", ""window_start"": 31, ""window_end"": 62, ""distance"": 0.08}, ""match_0004"": {""filename"": ""9CKC"", ""window_start"": 176, ""window_end"": 207, ""distance"": 0.085}, ""match_0005"": {""filename"": ""6CGP"", ""window_start"": 45, ""window_end"": 76, ""distance"": 0.085}, ""match_0006"": {""filename"": ""WCYT"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.085}, ""match_0007"": {""filename"": ""MBKT"", ""window_start"": 169, ""window_end"": 200, ""distance"": 0.085}, ""match_0008"": {""filename"": ""6PW3"", ""window_start"": 226, ""window_end"": 257, ""distance"": 0.116726}, ""match_0009"": {""filename"": ""J99Y"", ""window_start"": 293, ""window_end"": 324, ""distance"": 0.116726}, ""match_0010"": {""filename"": ""B3XJ"", ""window_start"": 18, ""window_end"": 49, ""distance"": 0.120208}, ""match_0011"": {""filename"": ""9DF2"", ""window_start"": 40, ""window_end"": 71, ""distance"": 0.0}, ""match_0012"": {""filename"": ""MBKT"", ""window_start"": 168, ""window_end"": 199, ""distance"": 0.0}, ""match_0013"": {""filename"": ""3FTG"", ""window_start"": 191, ""window_end"": 222, ""distance"": 0.085}, ""match_0014"": {""filename"": ""6CGP"", ""window_start"": 48, ""window_end"": 79, ""distance"": 0.085}, ""match_0015"": {""filename"": ""B3XJ"", ""window_start"": 18, ""window_end"": 49, ""distance"": 0.085}, ""match_0016"": {""filename"": ""B3XJ"", ""window_start"": 55, ""window_end"": 86, ""distance"": 0.085}, ""match_0017"": {""filename"": ""B3XJ"", ""window_start"": 54, ""window_end"": 85, ""distance"": 0.085}, ""match_0018"": {""filename"": ""6PW3"", ""window_start"": 20, ""window_end"": 51, ""distance"": 0.085}, ""match_0019"": {""filename"": ""H634"", ""window_start"": 38, ""window_end"": 69, ""distance"": 0.085}, ""match_0020"": {""filename"": ""R7Y2"", ""window_start"": 186, ""window_end"": 217, ""distance"": 0.085}, ""match_0021"": {""filename"": ""6PW3"", ""window_start"": 19, ""window_end"": 50, ""distance"": 0.07}, ""match_0022"": {""filename"": ""B3XJ"", ""window_start"": 53, ""window_end"": 84, ""distance"": 0.07}, ""match_0023"": {""filename"": ""B3XJ"", ""window_start"": 17, ""window_end"": 48, ""distance"": 0.07}, ""match_0024"": {""filename"": ""B3XJ"", ""window_start"": 16, ""window_end"": 47, ""distance"": 0.07}, ""match_0025"": {""filename"": ""B3XJ"", ""window_start"": 122, ""window_end"": 153, ""distance"": 0.102591}, ""match_0026"": {""filename"": ""6CGP"", ""window_start"": 46, ""window_end"": 77, ""distance"": 0.108743}, ""match_0027"": {""filename"": ""WCYT"", ""window_start"": 124, ""window_end"": 155, ""distance"": 0.108743}, ""match_0028"": {""filename"": ""B3XJ"", ""window_start"": 19, ""window_end"": 50, ""distance"": 0.128452}, ""match_0029"": {""filename"": ""3FTG"", ""window_start"": 198, ""window_end"": 229, ""distance"": 0.128452}, ""match_0030"": {""filename"": ""H634"", ""window_start"": 38, ""window_end"": 69, ""distance"": 0.128452}}"
23,WY9R,264,295,91,29,0.299,0.0,0.0,0.17,0.17,0.67,0.57,0.33,"{""match_0001"": {""filename"": ""Z64J"", ""window_start"": 82, ""window_end"": 113, ""distance"": 0.085}, ""match_0002"": {""filename"": ""RBKV"", ""window_start"": 198, ""window_end"": 229, ""distance"": 0.086891}, ""match_0003"": {""filename"": ""MGT4"", ""window_start"": 34, ""window_end"": 65, ""distance"": 0.086891}, ""match_0004"": {""filename"": ""RXMC"", ""window_start"": 42, ""window_end"": 73, ""distance"": 0.086891}, ""match_0005"": {""filename"": ""4PJR"", ""window_start"": 103, ""window_end"": 134, ""distance"": 0.102713}, ""match_0006"": {""filename"": ""W4G3"", ""window_start"": 91, ""window_end"": 122, ""distance"": 0.102713}, ""match_0007"": {""filename"": ""Z3TJ"", ""window_start"": 68, ""window_end"": 99, ""distance"": 0.120208}}"
