rank,filename,window_start,window_end,frequency,unique_count,support,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,matched
11,7W7C,149,180,565,60,0.6186,0.25,0.25,0.25,0.12,0.5,0.09,"{""match_0001"": {""filename"": ""WTV3"", ""window_start"": 222, ""window_end"": 253, ""distance"": 0.0}, ""match_0002"": {""filename"": ""HMP2"", ""window_start"": 148, ""window_end"": 179, ""distance"": 0.0}, ""match_0003"": {""filename"": ""FHXX"", ""window_start"": 84, ""window_end"": 115, ""distance"": 0.0}, ""match_0004"": {""filename"": ""Z3TJ"", ""window_start"": 240, ""window_end"": 271, ""distance"": 0.0}, ""match_0005"": {""filename"": ""DB72"", ""window_start"": 113, ""window_end"": 144, ""distance"": 0.06}, ""match_0006"": {""filename"": ""24PR"", ""window_start"": 229, ""window_end"": 260, ""distance"": 0.06}, ""match_0007"": {""filename"": ""XT2P"", ""window_start"": 182, ""window_end"": 213, ""distance"": 0.06}, ""match_0008"": {""filename"": ""RCW6"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.06}, ""match_0009"": {""filename"": ""Z3TJ"", ""window_start"": 193, ""window_end"": 224, ""distance"": 0.06}, ""match_0010"": {""filename"": ""Z3TJ"", ""window_start"": 194, ""window_end"": 225, ""distance"": 0.06}}"
12,ZCD7,197,228,591,59,0.6082,0.25,0.25,0.25,0.25,0.38,0.09,"{""match_0001"": {""filename"": ""Z3TJ"", ""window_start"": 185, ""window_end"": 216, ""distance"": 0.0}, ""match_0002"": {""filename"": ""MGT4"", ""window_start"": 47, ""window_end"": 78, ""distance"": 0.0}, ""match_0003"": {""filename"": ""WTV3"", ""window_start"": 236, ""window_end"": 267, ""distance"": 0.0}, ""match_0004"": {""filename"": ""WXHK"", ""window_start"": 204, ""window_end"": 235, ""distance"": 0.0}, ""match_0005"": {""filename"": ""4PFM"", ""window_start"": 326, ""window_end"": 357, ""distance"": 0.0}, ""match_0006"": {""filename"": ""3D4B"", ""window_start"": 298, ""window_end"": 329, ""distance"": 0.0}, ""match_0007"": {""filename"": ""DDKT"", ""window_start"": 138, ""window_end"": 169, ""distance"": 0.0}, ""match_0008"": {""filename"": ""6PW3"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.06}}"
13,DDKT,138,169,589,59,0.6082,0.25,0.25,0.25,0.25,0.38,0.09,"{""match_0001"": {""filename"": ""Z3TJ"", ""window_start"": 185, ""window_end"": 216, ""distance"": 0.0}, ""match_0002"": {""filename"": ""WTV3"", ""window_start"": 235, ""window_end"": 266, ""distance"": 0.0}, ""match_0003"": {""filename"": ""WXHK"", ""window_start"": 204, ""window_end"": 235, ""distance"": 0.0}, ""match_0004"": {""filename"": ""MGT4"", ""window_start"": 47, ""window_end"": 78, ""distance"": 0.0}, ""match_0005"": {""filename"": ""4PFM"", ""window_start"": 318, ""window_end"": 349, ""distance"": 0.0}, ""match_0006"": {""filename"": ""ZCD7"", ""window_start"": 197, ""window_end"": 228, ""distance"": 0.0}, ""match_0007"": {""filename"": ""3D4B"", ""window_start"": 298, ""window_end"": 329, ""distance"": 0.0}, ""match_0008"": {""filename"": ""6PW3"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.06}, ""match_0009"": {""filename"": ""7W7C"", ""window_start"": 152, ""window_end"": 183, ""distance"": 0.06}}"
14,DKBJ,126,157,577,59,0.6082,0.27,0.27,0.18,0.09,0.55,0.06,"{""match_0001"": {""filename"": ""W4G3"", ""window_start"": 163, ""window_end"": 194, ""distance"": 0.045}, ""match_0002"": {""filename"": ""RCW6"", ""window_start"": 49, ""window_end"": 80, ""distance"": 0.07433}, ""match_0003"": {""filename"": ""FZVW"", ""window_start"": 126, ""window_end"": 157, ""distance"": 0.077136}, ""match_0004"": {""filename"": ""YWTX"", ""window_start"": 100, ""window_end"": 131, ""distance"": 0.09}, ""match_0005"": {""filename"": ""WXHK"", ""window_start"": 83, ""window_end"": 114, ""distance"": 0.095}}"
15,MGT4,47,78,572,59,0.6082,0.25,0.25,0.25,0.25,0.38,0.09,"{""match_0001"": {""filename"": ""3D4B"", ""window_start"": 298, ""window_end"": 329, ""distance"": 0.0}, ""match_0002"": {""filename"": ""WXHK"", ""window_start"": 204, ""window_end"": 235, ""distance"": 0.0}, ""match_0003"": {""filename"": ""4PFM"", ""window_start"": 317, ""window_end"": 348, ""distance"": 0.0}, ""match_0004"": {""filename"": ""WTV3"", ""window_start"": 236, ""window_end"": 267, ""distance"": 0.0}, ""match_0005"": {""filename"": ""Z3TJ"", ""window_start"": 186, ""window_end"": 217, ""distance"": 0.0}, ""match_0006"": {""filename"": ""DDKT"", ""window_start"": 138, ""window_end"": 169, ""distance"": 0.0}, ""match_0007"": {""filename"": ""ZCD7"", ""window_start"": 197, ""window_end"": 228, ""distance"": 0.0}}"
16,3D4B,298,329,568,59,0.6082,0.25,0.25,0.25,0.25,0.38,0.09,"{""match_0001"": {""filename"": ""WXHK"", ""window_start"": 204, ""window_end"": 235, ""distance"": 0.0}, ""match_0002"": {""filename"": ""Z3TJ"", ""window_start"": 185, ""window_end"": 216, ""distance"": 0.0}, ""match_0003"": {""filename"": ""WTV3"", ""window_start"": 235, ""window_end"": 266, ""distance"": 0.0}, ""match_0004"": {""filename"": ""MGT4"", ""window_start"": 47, ""window_end"": 78, ""distance"": 0.0}, ""match_0005"": {""filename"": ""4PFM"", ""window_start"": 317, ""window_end"": 348, ""distance"": 0.0}, ""match_0006"": {""filename"": ""ZCD7"", ""window_start"": 197, ""window_end"": 228, ""distance"": 0.0}, ""match_0007"": {""filename"": ""DDKT"", ""window_start"": 138, ""window_end"": 169, ""distance"": 0.0}, ""match_0008"": {""filename"": ""6PW3"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.06}}"
17,WTV3,235,266,565,59,0.6082,0.25,0.25,0.25,0.25,0.38,0.09,"{""match_0001"": {""filename"": ""3D4B"", ""window_start"": 298, ""window_end"": 329, ""distance"": 0.0}, ""match_0002"": {""filename"": ""4PFM"", ""window_start"": 318, ""window_end"": 349, ""distance"": 0.0}, ""match_0003"": {""filename"": ""WXHK"", ""window_start"": 204, ""window_end"": 235, ""distance"": 0.0}, ""match_0004"": {""filename"": ""MGT4"", ""window_start"": 47, ""window_end"": 78, ""distance"": 0.0}, ""match_0005"": {""filename"": ""DDKT"", ""window_start"": 138, ""window_end"": 169, ""distance"": 0.0}, ""match_0006"": {""filename"": ""ZCD7"", ""window_start"": 197, ""window_end"": 228, ""distance"": 0.0}, ""match_0007"": {""filename"": ""Z3TJ"", ""window_start"": 186, ""window_end"": 217, ""distance"": 0.0}, ""match_0008"": {""filename"": ""6PW3"", ""window_start"": 102, ""window_end"": 133, ""distance"": 0.06}}"
18,WXHK,205,236,561,59,0.6082,0.25,0.25,0.25,0.25,0.38,0.09,"{""match_0001"": {""filename"": ""Z3TJ"", ""window_start"": 186, ""window_end"": 217, ""distance"": 0.0}, ""match_0002"": {""filename"": ""MGT4"", ""window_start"": 47, ""window_end"": 78, ""distance"": 0.0}, ""match_0003"": {""filename"": ""WTV3"", ""window_start"": 235, ""window_end"": 266, ""distance"": 0.0}, ""match_0004"": {""filename"": ""ZCD7"", ""window_start"": 197, ""window_end"": 228, ""distance"": 0.0}, ""match_0005"": {""filename"": ""DDKT"", ""window_start"": 138, ""window_end"": 169, ""distance"": 0.0}, ""match_0006"": {""filename"": ""4PFM"", ""window_start"": 318, ""window_end"": 349, ""distance"": 0.0}, ""match_0007"": {""filename"": ""3D4B"", ""window_start"": 298, ""window_end"": 329, ""distance"": 0.0}, ""match_0008"": {""filename"": ""6PW3"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.06}}"
19,WXHK,80,111,558,59,0.6082,0.27,0.27,0.18,0.09,0.36,0.06,"{""match_0001"": {""filename"": ""3PRC"", ""window_start"": 22, ""window_end"": 53, ""distance"": 0.045}, ""match_0002"": {""filename"": ""DKBJ"", ""window_start"": 126, ""window_end"": 157, ""distance"": 0.095}, ""match_0003"": {""filename"": ""4PJR"", ""window_start"": 141, ""window_end"": 172, ""distance"": 0.099121}, ""match_0004"": {""filename"": ""X2MP"", ""window_start"": 84, ""window_end"": 115, ""distance"": 0.100623}, ""match_0005"": {""filename"": ""W4G3"", ""window_start"": 164, ""window_end"": 195, ""distance"": 0.105119}, ""match_0006"": {""filename"": ""FZVW"", ""window_start"": 56, ""window_end"": 87, ""distance"": 0.105948}, ""match_0007"": {""filename"": ""4PFM"", ""window_start"": 408, ""window_end"": 439, ""distance"": 0.11811}, ""match_0008"": {""filename"": ""46FX"", ""window_start"": 64, ""window_end"": 95, ""distance"": 0.11811}, ""match_0009"": {""filename"": ""TGHV"", ""window_start"": 106, ""window_end"": 137, ""distance"": 0.11811}}"
20,4PFM,326,357,553,59,0.6082,0.25,0.25,0.25,0.25,0.38,0.09,"{""match_0001"": {""filename"": ""WXHK"", ""window_start"": 205, ""window_end"": 236, ""distance"": 0.0}, ""match_0002"": {""filename"": ""MGT4"", ""window_start"": 47, ""window_end"": 78, ""distance"": 0.0}, ""match_0003"": {""filename"": ""WTV3"", ""window_start"": 235, ""window_end"": 266, ""distance"": 0.0}, ""match_0004"": {""filename"": ""DDKT"", ""window_start"": 138, ""window_end"": 169, ""distance"": 0.0}, ""match_0005"": {""filename"": ""Z3TJ"", ""window_start"": 186, ""window_end"": 217, ""distance"": 0.0}, ""match_0006"": {""filename"": ""3D4B"", ""window_start"": 298, ""window_end"": 329, ""distance"": 0.0}, ""match_0007"": {""filename"": ""ZCD7"", ""window_start"": 197, ""window_end"": 228, ""distance"": 0.0}, ""match_0008"": {""filename"": ""6PW3"", ""window_start"": 104, ""window_end"": 135, ""distance"": 0.06}, ""match_0009"": {""filename"": ""7W7C"", ""window_start"": 152, ""window_end"": 183, ""distance"": 0.06}}"
