rank,filename,window_start,window_end,frequency,unique_count,support,max_consecutive_same_source,max_consecutive_same_target,tracing_count,cycle_count,max_consecutive_same_category,sparsity,matched
21,J99Y,300,331,528,59,0.6082,0.25,0.25,0.25,0.12,0.25,0.09,"{""match_0001"": {""filename"": ""GB4J"", ""window_start"": 115, ""window_end"": 146, ""distance"": 0.0}, ""match_0002"": {""filename"": ""24PR"", ""window_start"": 235, ""window_end"": 266, ""distance"": 0.06}, ""match_0003"": {""filename"": ""WH3X"", ""window_start"": 34, ""window_end"": 65, ""distance"": 0.06}, ""match_0004"": {""filename"": ""WCYT"", ""window_start"": 204, ""window_end"": 235, ""distance"": 0.06}, ""match_0005"": {""filename"": ""T4YH"", ""window_start"": 130, ""window_end"": 161, ""distance"": 0.06}, ""match_0006"": {""filename"": ""3J3Y"", ""window_start"": 107, ""window_end"": 138, ""distance"": 0.065}, ""match_0007"": {""filename"": ""ZW7M"", ""window_start"": 96, ""window_end"": 127, ""distance"": 0.065}, ""match_0008"": {""filename"": ""4PFM"", ""window_start"": 402, ""window_end"": 433, ""distance"": 0.065}, ""match_0009"": {""filename"": ""MGT4"", ""window_start"": 51, ""window_end"": 82, ""distance"": 0.065}}"
22,GB4J,114,145,524,59,0.6082,0.25,0.25,0.25,0.12,0.25,0.09,"{""match_0001"": {""filename"": ""J99Y"", ""window_start"": 300, ""window_end"": 331, ""distance"": 0.0}, ""match_0002"": {""filename"": ""WCYT"", ""window_start"": 198, ""window_end"": 229, ""distance"": 0.06}, ""match_0003"": {""filename"": ""WH3X"", ""window_start"": 33, ""window_end"": 64, ""distance"": 0.06}, ""match_0004"": {""filename"": ""T4YH"", ""window_start"": 130, ""window_end"": 161, ""distance"": 0.06}, ""match_0005"": {""filename"": ""24PR"", ""window_start"": 234, ""window_end"": 265, ""distance"": 0.06}, ""match_0006"": {""filename"": ""Z3TJ"", ""window_start"": 193, ""window_end"": 224, ""distance"": 0.065}, ""match_0007"": {""filename"": ""XCDP"", ""window_start"": 233, ""window_end"": 264, ""distance"": 0.065}, ""match_0008"": {""filename"": ""3D4B"", ""window_start"": 265, ""window_end"": 296, ""distance"": 0.065}, ""match_0009"": {""filename"": ""ZW7M"", ""window_start"": 95, ""window_end"": 126, ""distance"": 0.065}, ""match_0010"": {""filename"": ""MGT4"", ""window_start"": 53, ""window_end"": 84, ""distance"": 0.065}}"
23,B3BV,140,171,496,59,0.6082,0.43,0.0,0.14,0.14,0.43,0.11,"{""match_0001"": {""filename"": ""KYVM"", ""window_start"": 163, ""window_end"": 194, ""distance"": 0.0}, ""match_0002"": {""filename"": ""RXMC"", ""window_start"": 270, ""window_end"": 301, ""distance"": 0.0}, ""match_0003"": {""filename"": ""W6D3"", ""window_start"": 172, ""window_end"": 203, ""distance"": 0.0}, ""match_0004"": {""filename"": ""6CGP"", ""window_start"": 25, ""window_end"": 56, ""distance"": 0.07}, ""match_0005"": {""filename"": ""VCD9"", ""window_start"": 164, ""window_end"": 195, ""distance"": 0.07}, ""match_0006"": {""filename"": ""GF46"", ""window_start"": 227, ""window_end"": 258, ""distance"": 0.07}, ""match_0007"": {""filename"": ""WXHK"", ""window_start"": 138, ""window_end"": 169, ""distance"": 0.07}, ""match_0008"": {""filename"": ""FVYH"", ""window_start"": 161, ""window_end"": 192, ""distance"": 0.07}}"
24,RXMC,269,300,494,59,0.6082,0.43,0.0,0.14,0.14,0.43,0.11,"{""match_0001"": {""filename"": ""B3BV"", ""window_start"": 140, ""window_end"": 171, ""distance"": 0.0}, ""match_0002"": {""filename"": ""W6D3"", ""window_start"": 172, ""window_end"": 203, ""distance"": 0.0}, ""match_0003"": {""filename"": ""KYVM"", ""window_start"": 163, ""window_end"": 194, ""distance"": 0.0}, ""match_0004"": {""filename"": ""VCD9"", ""window_start"": 161, ""window_end"": 192, ""distance"": 0.07}, ""match_0005"": {""filename"": ""6CGP"", ""window_start"": 24, ""window_end"": 55, ""distance"": 0.07}, ""match_0006"": {""filename"": ""FVYH"", ""window_start"": 161, ""window_end"": 192, ""distance"": 0.07}}"
25,P3XV,77,108,491,59,0.6082,0.29,0.29,0.29,0.14,0.43,0.11,"{""match_0001"": {""filename"": ""Z3TJ"", ""window_start"": 196, ""window_end"": 227, ""distance"": 0.0}, ""match_0002"": {""filename"": ""CTVZ"", ""window_start"": 270, ""window_end"": 301, ""distance"": 0.0}, ""match_0003"": {""filename"": ""WCYT"", ""window_start"": 444, ""window_end"": 475, ""distance"": 0.058523}, ""match_0004"": {""filename"": ""Z3TJ"", ""window_start"": 239, ""window_end"": 270, ""distance"": 0.07}, ""match_0005"": {""filename"": ""Z3TJ"", ""window_start"": 238, ""window_end"": 269, ""distance"": 0.07}, ""match_0006"": {""filename"": ""7W7C"", ""window_start"": 143, ""window_end"": 174, ""distance"": 0.07}}"
26,YWTX,101,132,491,59,0.6082,0.27,0.27,0.18,0.09,0.73,0.06,"{""match_0001"": {""filename"": ""FZVW"", ""window_start"": 126, ""window_end"": 157, ""distance"": 0.088034}, ""match_0002"": {""filename"": ""DKBJ"", ""window_start"": 125, ""window_end"": 156, ""distance"": 0.09}, ""match_0003"": {""filename"": ""W4G3"", ""window_start"": 165, ""window_end"": 196, ""distance"": 0.100623}, ""match_0004"": {""filename"": ""RCW6"", ""window_start"": 49, ""window_end"": 80, ""distance"": 0.104523}, ""match_0005"": {""filename"": ""W4G3"", ""window_start"": 280, ""window_end"": 311, ""distance"": 0.113248}, ""match_0006"": {""filename"": ""DDKT"", ""window_start"": 165, ""window_end"": 196, ""distance"": 0.113248}}"
27,W6D3,172,203,486,59,0.6082,0.43,0.0,0.14,0.14,0.43,0.11,"{""match_0001"": {""filename"": ""B3BV"", ""window_start"": 139, ""window_end"": 170, ""distance"": 0.0}, ""match_0002"": {""filename"": ""RXMC"", ""window_start"": 270, ""window_end"": 301, ""distance"": 0.0}, ""match_0003"": {""filename"": ""KYVM"", ""window_start"": 163, ""window_end"": 194, ""distance"": 0.0}, ""match_0004"": {""filename"": ""6CGP"", ""window_start"": 24, ""window_end"": 55, ""distance"": 0.07}, ""match_0005"": {""filename"": ""VCD9"", ""window_start"": 164, ""window_end"": 195, ""distance"": 0.07}}"
28,CTVZ,273,304,481,59,0.6082,0.29,0.29,0.29,0.14,0.43,0.11,"{""match_0001"": {""filename"": ""P3XV"", ""window_start"": 77, ""window_end"": 108, ""distance"": 0.0}, ""match_0002"": {""filename"": ""Z3TJ"", ""window_start"": 195, ""window_end"": 226, ""distance"": 0.0}, ""match_0003"": {""filename"": ""WCYT"", ""window_start"": 442, ""window_end"": 473, ""distance"": 0.058523}, ""match_0004"": {""filename"": ""64X9"", ""window_start"": 168, ""window_end"": 199, ""distance"": 0.07}, ""match_0005"": {""filename"": ""XT2P"", ""window_start"": 186, ""window_end"": 217, ""distance"": 0.07}, ""match_0006"": {""filename"": ""TTMD"", ""window_start"": 1288, ""window_end"": 1319, ""distance"": 0.07}, ""match_0007"": {""filename"": ""7W7C"", ""window_start"": 139, ""window_end"": 170, ""distance"": 0.07}, ""match_0008"": {""filename"": ""Z3TJ"", ""window_start"": 239, ""window_end"": 270, ""distance"": 0.07}, ""match_0009"": {""filename"": ""Z3TJ"", ""window_start"": 238, ""window_end"": 269, ""distance"": 0.07}, ""match_0010"": {""filename"": ""DB72"", ""window_start"": 111, ""window_end"": 142, ""distance"": 0.07}}"
29,XCDP,233,264,479,59,0.6082,0.25,0.25,0.25,0.25,0.25,0.09,"{""match_0001"": {""filename"": ""4PFM"", ""window_start"": 342, ""window_end"": 373, ""distance"": 0.0}, ""match_0002"": {""filename"": ""3D4B"", ""window_start"": 265, ""window_end"": 296, ""distance"": 0.0}, ""match_0003"": {""filename"": ""MGT4"", ""window_start"": 53, ""window_end"": 84, ""distance"": 0.0}, ""match_0004"": {""filename"": ""4PFM"", ""window_start"": 406, ""window_end"": 437, ""distance"": 0.0}, ""match_0005"": {""filename"": ""4PFM"", ""window_start"": 404, ""window_end"": 435, ""distance"": 0.0}, ""match_0006"": {""filename"": ""4PFM"", ""window_start"": 405, ""window_end"": 436, ""distance"": 0.0}, ""match_0007"": {""filename"": ""4PFM"", ""window_start"": 403, ""window_end"": 434, ""distance"": 0.0}, ""match_0008"": {""filename"": ""4PFM"", ""window_start"": 402, ""window_end"": 433, ""distance"": 0.0}, ""match_0009"": {""filename"": ""4PFM"", ""window_start"": 400, ""window_end"": 431, ""distance"": 0.0}, ""match_0010"": {""filename"": ""WXHK"", ""window_start"": 205, ""window_end"": 236, ""distance"": 0.065}}"
30,KYVM,163,194,466,59,0.6082,0.43,0.0,0.14,0.14,0.43,0.11,"{""match_0001"": {""filename"": ""B3BV"", ""window_start"": 139, ""window_end"": 170, ""distance"": 0.0}, ""match_0002"": {""filename"": ""RXMC"", ""window_start"": 269, ""window_end"": 300, ""distance"": 0.0}, ""match_0003"": {""filename"": ""W6D3"", ""window_start"": 172, ""window_end"": 203, ""distance"": 0.0}, ""match_0004"": {""filename"": ""VCD9"", ""window_start"": 165, ""window_end"": 196, ""distance"": 0.07}, ""match_0005"": {""filename"": ""6CGP"", ""window_start"": 24, ""window_end"": 55, ""distance"": 0.07}, ""match_0006"": {""filename"": ""FVYH"", ""window_start"": 161, ""window_end"": 192, ""distance"": 0.07}, ""match_0007"": {""filename"": ""GF46"", ""window_start"": 226, ""window_end"": 257, ""distance"": 0.07}, ""match_0008"": {""filename"": ""WXHK"", ""window_start"": 137, ""window_end"": 168, ""distance"": 0.07}, ""match_0009"": {""filename"": ""J99Y"", ""window_start"": 92, ""window_end"": 123, ""distance"": 0.07}}"
