rank,filename,window_start,window_end,frequency,sequence_count,matched,frequency_score,sequence_score,combined_score,support,mean_max_consecutive_same_source,mean_max_consecutive_same_target,mean_tracing_count,mean_cycle_count,mean_max_consecutive_same_category,mean_sparsity
11,BCFH,402,431,43,17,"{""4FH6"": [{""window_start"": 150, ""window_end"": 179, ""distance"": 2.08}, {""window_start"": 378, ""window_end"": 407, ""distance"": 0.88}], ""9CKC"": [{""window_start"": 342, ""window_end"": 377, ""distance"": 1.73}, {""window_start"": 351, ""window_end"": 380, ""distance"": 1.91}], ""H634"": [{""window_start"": 57, ""window_end"": 89, ""distance"": 1.75}], ""MBKT"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 1.65}], ""TTMD"": [{""window_start"": 300, ""window_end"": 335, ""distance"": 1.86}, {""window_start"": 309, ""window_end"": 344, ""distance"": 1.85}, {""window_start"": 318, ""window_end"": 353, ""distance"": 1.77}], ""GWWD"": [{""window_start"": 228, ""window_end"": 260, ""distance"": 1.9}], ""T4YH"": [{""window_start"": 228, ""window_end"": 260, ""distance"": 1.94}], ""3Y4K"": [{""window_start"": 360, ""window_end"": 389, ""distance"": 2.01}, {""window_start"": 474, ""window_end"": 509, ""distance"": 2.02}, {""window_start"": 483, ""window_end"": 512, ""distance"": 2.18}, {""window_start"": 579, ""window_end"": 608, ""distance"": 2.13}], ""RXMC"": [{""window_start"": 156, ""window_end"": 191, ""distance"": 1.98}], ""X2MP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 2.06}], ""MBBW"": [{""window_start"": 126, ""window_end"": 161, ""distance"": 2.04}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 110, ""distance"": 2.01}], ""VGBM"": [{""window_start"": 321, ""window_end"": 350, ""distance"": 2.02}], ""F6RP"": [{""window_start"": 276, ""window_end"": 305, ""distance"": 2.08}], ""KYVM"": [{""window_start"": 279, ""window_end"": 311, ""distance"": 2.12}], ""24PR"": [{""window_start"": 105, ""window_end"": 134, ""distance"": 2.15}], ""DF7J"": [{""window_start"": 72, ""window_end"": 101, ""distance"": 2.18}]}",0.54,0.77,0.66,0.1753,1.0,0.0,0.0,0.0,0.4113,0.6433
12,D2RK,87,116,53,12,"{""H634"": [{""window_start"": 39, ""window_end"": 74, ""distance"": 1.07}, {""window_start"": 48, ""window_end"": 83, ""distance"": 1.1}, {""window_start"": 57, ""window_end"": 89, ""distance"": 1.56}], ""J2RZ"": [{""window_start"": 144, ""window_end"": 173, ""distance"": 2.0}, {""window_start"": 288, ""window_end"": 317, ""distance"": 1.54}], ""MBKT"": [{""window_start"": 39, ""window_end"": 74, ""distance"": 2.04}, {""window_start"": 48, ""window_end"": 80, ""distance"": 1.89}], ""3Y4K"": [{""window_start"": 384, ""window_end"": 416, ""distance"": 1.68}], ""BCFH"": [{""window_start"": 237, ""window_end"": 272, ""distance"": 1.81}, {""window_start"": 246, ""window_end"": 281, ""distance"": 2.05}, {""window_start"": 255, ""window_end"": 290, ""distance"": 2.05}, {""window_start"": 264, ""window_end"": 293, ""distance"": 1.9}], ""TTMD"": [{""window_start"": 258, ""window_end"": 293, ""distance"": 1.91}, {""window_start"": 282, ""window_end"": 314, ""distance"": 2.0}, {""window_start"": 291, ""window_end"": 326, ""distance"": 1.88}], ""F6RP"": [{""window_start"": 285, ""window_end"": 320, ""distance"": 1.98}, {""window_start"": 294, ""window_end"": 323, ""distance"": 1.78}], ""P3XV"": [{""window_start"": 246, ""window_end"": 281, ""distance"": 2.02}, {""window_start"": 255, ""window_end"": 284, ""distance"": 1.79}], ""KH2X"": [{""window_start"": 372, ""window_end"": 401, ""distance"": 2.14}, {""window_start"": 447, ""window_end"": 476, ""distance"": 1.92}], ""T4YH"": [{""window_start"": 264, ""window_end"": 296, ""distance"": 1.98}], ""GWWD"": [{""window_start"": 93, ""window_end"": 128, ""distance"": 2.17}, {""window_start"": 102, ""window_end"": 131, ""distance"": 2.02}, {""window_start"": 231, ""window_end"": 263, ""distance"": 2.1}], ""24PR"": [{""window_start"": 99, ""window_end"": 128, ""distance"": 2.08}]}",0.67,0.55,0.61,0.1237,1.0,0.0,0.0,0.0,0.0,0.883
13,T4YH,228,257,43,15,"{""F6RP"": [{""window_start"": 276, ""window_end"": 308, ""distance"": 1.06}], ""X2MP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 1.25}, {""window_start"": 285, ""window_end"": 314, ""distance"": 2.04}], ""TTMD"": [{""window_start"": 309, ""window_end"": 344, ""distance"": 1.59}, {""window_start"": 318, ""window_end"": 353, ""distance"": 1.83}, {""window_start"": 465, ""window_end"": 500, ""distance"": 1.95}, {""window_start"": 474, ""window_end"": 503, ""distance"": 1.72}], ""P3XV"": [{""window_start"": 240, ""window_end"": 272, ""distance"": 1.46}], ""KYVM"": [{""window_start"": 288, ""window_end"": 320, ""distance"": 1.73}], ""BCFH"": [{""window_start"": 246, ""window_end"": 275, ""distance"": 2.05}, {""window_start"": 276, ""window_end"": 305, ""distance"": 2.05}, {""window_start"": 285, ""window_end"": 314, ""distance"": 2.17}, {""window_start"": 297, ""window_end"": 329, ""distance"": 1.81}, {""window_start"": 399, ""window_end"": 431, ""distance"": 1.99}], ""DF7J"": [{""window_start"": 66, ""window_end"": 101, ""distance"": 1.81}, {""window_start"": 75, ""window_end"": 104, ""distance"": 2.04}], ""9CKC"": [{""window_start"": 357, ""window_end"": 389, ""distance"": 1.79}], ""MGT4"": [{""window_start"": 186, ""window_end"": 218, ""distance"": 1.77}, {""window_start"": 195, ""window_end"": 224, ""distance"": 1.88}], ""4FH6"": [{""window_start"": 378, ""window_end"": 407, ""distance"": 1.83}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 110, ""distance"": 1.93}], ""KH2X"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 2.03}], ""MBKT"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 2.1}], ""RXMC"": [{""window_start"": 165, ""window_end"": 194, ""distance"": 2.15}], ""3Y4K"": [{""window_start"": 369, ""window_end"": 401, ""distance"": 2.17}]}",0.54,0.68,0.61,0.1546,0.0,0.0,0.0,0.0,0.3333,0.9867
14,BCFH,237,266,48,13,"{""GWWD"": [{""window_start"": 108, ""window_end"": 143, ""distance"": 2.08}, {""window_start"": 117, ""window_end"": 146, ""distance"": 2.06}, {""window_start"": 228, ""window_end"": 263, ""distance"": 1.55}], ""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.53}, {""window_start"": 51, ""window_end"": 86, ""distance"": 1.85}], ""3Y4K"": [{""window_start"": 471, ""window_end"": 503, ""distance"": 1.75}], ""KH2X"": [{""window_start"": 447, ""window_end"": 476, ""distance"": 1.62}], ""9CKC"": [{""window_start"": 27, ""window_end"": 62, ""distance"": 1.92}, {""window_start"": 36, ""window_end"": 71, ""distance"": 1.9}, {""window_start"": 45, ""window_end"": 74, ""distance"": 2.12}], ""TTMD"": [{""window_start"": 300, ""window_end"": 335, ""distance"": 2.02}, {""window_start"": 309, ""window_end"": 344, ""distance"": 2.02}], ""J2RZ"": [{""window_start"": 300, ""window_end"": 335, ""distance"": 2.02}, {""window_start"": 309, ""window_end"": 338, ""distance"": 1.82}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 1.87}], ""KCDH"": [{""window_start"": 225, ""window_end"": 260, ""distance"": 2.01}, {""window_start"": 234, ""window_end"": 266, ""distance"": 1.98}], ""P3XV"": [{""window_start"": 252, ""window_end"": 284, ""distance"": 2.09}, {""window_start"": 261, ""window_end"": 290, ""distance"": 1.93}], ""WY9R"": [{""window_start"": 165, ""window_end"": 200, ""distance"": 2.08}], ""F6RP"": [{""window_start"": 294, ""window_end"": 323, ""distance"": 2.11}], ""ZBB2"": [{""window_start"": 264, ""window_end"": 293, ""distance"": 2.14}]}",0.61,0.59,0.6,0.134,1.0,0.0,0.0,0.0,0.639,0.5553
15,TTMD,321,350,34,17,"{""T4YH"": [{""window_start"": 228, ""window_end"": 263, ""distance"": 1.28}, {""window_start"": 237, ""window_end"": 266, ""distance"": 2.04}], ""DF7J"": [{""window_start"": 72, ""window_end"": 104, ""distance"": 1.54}], ""X2MP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 1.52}, {""window_start"": 285, ""window_end"": 314, ""distance"": 1.74}], ""MGT4"": [{""window_start"": 195, ""window_end"": 224, ""distance"": 1.43}], ""WCYT"": [{""window_start"": 228, ""window_end"": 257, ""distance"": 1.62}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 116, ""distance"": 1.93}], ""MBKT"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 1.65}], ""BCFH"": [{""window_start"": 303, ""window_end"": 332, ""distance"": 1.74}, {""window_start"": 399, ""window_end"": 431, ""distance"": 1.85}], ""KH2X"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 1.75}], ""9CKC"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 1.76}], ""KYVM"": [{""window_start"": 297, ""window_end"": 329, ""distance"": 1.91}], ""H634"": [{""window_start"": 57, ""window_end"": 89, ""distance"": 1.96}], ""F6RP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 1.9}], ""4FH6"": [{""window_start"": 378, ""window_end"": 407, ""distance"": 1.93}], ""P3XV"": [{""window_start"": 240, ""window_end"": 275, ""distance"": 2.15}], ""3Y4K"": [{""window_start"": 474, ""window_end"": 503, ""distance"": 2.14}], ""GWWD"": [{""window_start"": 84, ""window_end"": 113, ""distance"": 2.17}]}",0.43,0.77,0.6,0.1753,0.0,0.0,0.0,0.0,0.0667,0.8407
16,3Y4K,474,503,39,14,"{""GWWD"": [{""window_start"": 228, ""window_end"": 263, ""distance"": 1.73}], ""BCFH"": [{""window_start"": 237, ""window_end"": 272, ""distance"": 1.44}, {""window_start"": 246, ""window_end"": 281, ""distance"": 1.9}, {""window_start"": 396, ""window_end"": 431, ""distance"": 1.77}], ""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.95}, {""window_start"": 51, ""window_end"": 86, ""distance"": 1.58}, {""window_start"": 60, ""window_end"": 89, ""distance"": 1.95}], ""TTMD"": [{""window_start"": 300, ""window_end"": 335, ""distance"": 1.9}, {""window_start"": 309, ""window_end"": 344, ""distance"": 1.97}, {""window_start"": 321, ""window_end"": 350, ""distance"": 2.14}], ""9CKC"": [{""window_start"": 30, ""window_end"": 59, ""distance"": 2.18}, {""window_start"": 342, ""window_end"": 371, ""distance"": 1.82}], ""ZBB2"": [{""window_start"": 264, ""window_end"": 293, ""distance"": 1.85}], ""KH2X"": [{""window_start"": 447, ""window_end"": 476, ""distance"": 1.89}], ""D2RK"": [{""window_start"": 90, ""window_end"": 119, ""distance"": 1.95}], ""T4YH"": [{""window_start"": 282, ""window_end"": 311, ""distance"": 2.04}], ""J2RZ"": [{""window_start"": 303, ""window_end"": 335, ""distance"": 2.06}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 110, ""distance"": 2.1}], ""4FH6"": [{""window_start"": 378, ""window_end"": 407, ""distance"": 2.16}], ""B3BV"": [{""window_start"": 195, ""window_end"": 224, ""distance"": 2.17}], ""XHP3"": [{""window_start"": 84, ""window_end"": 116, ""distance"": 2.18}]}",0.49,0.64,0.57,0.1443,1.0,0.0,0.0,0.0,0.53,0.6363
17,DF7J,72,101,37,14,"{""X2MP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 0.67}, {""window_start"": 285, ""window_end"": 314, ""distance"": 1.64}], ""T4YH"": [{""window_start"": 228, ""window_end"": 263, ""distance"": 1.13}, {""window_start"": 237, ""window_end"": 266, ""distance"": 1.97}], ""TTMD"": [{""window_start"": 315, ""window_end"": 350, ""distance"": 1.48}, {""window_start"": 324, ""window_end"": 353, ""distance"": 2.05}, {""window_start"": 471, ""window_end"": 506, ""distance"": 1.7}], ""9CKC"": [{""window_start"": 363, ""window_end"": 392, ""distance"": 1.27}], ""MGT4"": [{""window_start"": 189, ""window_end"": 224, ""distance"": 1.6}], ""F6RP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 1.52}], ""KH2X"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 1.51}], ""P3XV"": [{""window_start"": 240, ""window_end"": 275, ""distance"": 1.73}, {""window_start"": 249, ""window_end"": 278, ""distance"": 2.18}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 113, ""distance"": 1.97}], ""MBKT"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 1.88}], ""KYVM"": [{""window_start"": 294, ""window_end"": 329, ""distance"": 1.93}], ""WCYT"": [{""window_start"": 246, ""window_end"": 275, ""distance"": 2.04}], ""BCFH"": [{""window_start"": 303, ""window_end"": 332, ""distance"": 2.09}, {""window_start"": 402, ""window_end"": 431, ""distance"": 2.18}], ""4FH6"": [{""window_start"": 378, ""window_end"": 407, ""distance"": 2.14}]}",0.47,0.64,0.55,0.1443,0.0,0.0,0.0,0.0,0.1667,0.9917
18,KH2X,447,476,36,14,"{""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.55}, {""window_start"": 51, ""window_end"": 86, ""distance"": 1.68}], ""KYVM"": [{""window_start"": 300, ""window_end"": 329, ""distance"": 1.36}], ""T4YH"": [{""window_start"": 237, ""window_end"": 266, ""distance"": 1.36}, {""window_start"": 264, ""window_end"": 296, ""distance"": 1.85}], ""TTMD"": [{""window_start"": 282, ""window_end"": 314, ""distance"": 1.98}, {""window_start"": 324, ""window_end"": 353, ""distance"": 1.61}, {""window_start"": 477, ""window_end"": 506, ""distance"": 1.36}], ""3Y4K"": [{""window_start"": 381, ""window_end"": 410, ""distance"": 1.49}, {""window_start"": 474, ""window_end"": 503, ""distance"": 1.89}], ""BCFH"": [{""window_start"": 237, ""window_end"": 272, ""distance"": 1.66}, {""window_start"": 246, ""window_end"": 281, ""distance"": 1.72}, {""window_start"": 255, ""window_end"": 284, ""distance"": 1.94}], ""P3XV"": [{""window_start"": 252, ""window_end"": 284, ""distance"": 1.95}], ""F6RP"": [{""window_start"": 291, ""window_end"": 323, ""distance"": 1.87}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 1.9}], ""B3BV"": [{""window_start"": 183, ""window_end"": 212, ""distance"": 1.9}], ""GWWD"": [{""window_start"": 228, ""window_end"": 263, ""distance"": 2.12}], ""J2RZ"": [{""window_start"": 288, ""window_end"": 317, ""distance"": 2.11}], ""DF7J"": [{""window_start"": 75, ""window_end"": 104, ""distance"": 2.16}], ""X2MP"": [{""window_start"": 285, ""window_end"": 314, ""distance"": 2.16}]}",0.46,0.64,0.55,0.1443,0.0,0.0,0.0,0.0,0.0333,0.883
19,TTMD,474,503,31,15,"{""T4YH"": [{""window_start"": 228, ""window_end"": 263, ""distance"": 0.78}, {""window_start"": 237, ""window_end"": 266, ""distance"": 1.87}], ""X2MP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 1.19}, {""window_start"": 285, ""window_end"": 314, ""distance"": 1.46}], ""DF7J"": [{""window_start"": 72, ""window_end"": 104, ""distance"": 1.19}], ""MGT4"": [{""window_start"": 192, ""window_end"": 224, ""distance"": 1.51}], ""F6RP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 1.39}], ""KYVM"": [{""window_start"": 294, ""window_end"": 329, ""distance"": 1.77}], ""KH2X"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 1.27}], ""BCFH"": [{""window_start"": 303, ""window_end"": 332, ""distance"": 1.64}], ""P3XV"": [{""window_start"": 240, ""window_end"": 275, ""distance"": 1.88}, {""window_start"": 249, ""window_end"": 278, ""distance"": 1.94}], ""WCYT"": [{""window_start"": 228, ""window_end"": 257, ""distance"": 1.79}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 113, ""distance"": 2.0}], ""9CKC"": [{""window_start"": 363, ""window_end"": 392, ""distance"": 1.93}], ""MBKT"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 1.94}], ""J2RZ"": [{""window_start"": 264, ""window_end"": 293, ""distance"": 2.14}], ""4FH6"": [{""window_start"": 378, ""window_end"": 407, ""distance"": 2.19}]}",0.39,0.68,0.54,0.1546,0.0,0.0,0.0,0.0,0.1333,0.9933
20,CTVZ,81,110,31,13,"{""TTMD"": [{""window_start"": 312, ""window_end"": 347, ""distance"": 1.82}, {""window_start"": 321, ""window_end"": 353, ""distance"": 1.74}, {""window_start"": 474, ""window_end"": 503, ""distance"": 1.89}], ""X2MP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 1.9}, {""window_start"": 285, ""window_end"": 314, ""distance"": 2.19}], ""F6RP"": [{""window_start"": 276, ""window_end"": 308, ""distance"": 1.86}], ""H634"": [{""window_start"": 54, ""window_end"": 89, ""distance"": 1.93}], ""T4YH"": [{""window_start"": 228, ""window_end"": 263, ""distance"": 1.88}], ""BCFH"": [{""window_start"": 249, ""window_end"": 281, ""distance"": 1.96}, {""window_start"": 399, ""window_end"": 431, ""distance"": 1.95}], ""DF7J"": [{""window_start"": 72, ""window_end"": 104, ""distance"": 2.03}], ""MBKT"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 1.91}], ""GWWD"": [{""window_start"": 231, ""window_end"": 263, ""distance"": 1.99}], ""4FH6"": [{""window_start"": 378, ""window_end"": 407, ""distance"": 2.01}], ""KH2X"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 2.04}], ""MGT4"": [{""window_start"": 195, ""window_end"": 224, ""distance"": 2.05}], ""3Y4K"": [{""window_start"": 474, ""window_end"": 503, ""distance"": 2.1}]}",0.39,0.59,0.49,0.134,1.0,0.0,0.0,0.0,0.0733,0.446
21,GWWD,228,257,33,12,"{""3Y4K"": [{""window_start"": 474, ""window_end"": 506, ""distance"": 1.54}], ""TTMD"": [{""window_start"": 300, ""window_end"": 335, ""distance"": 1.68}, {""window_start"": 309, ""window_end"": 341, ""distance"": 2.0}], ""T4YH"": [{""window_start"": 282, ""window_end"": 314, ""distance"": 1.8}], ""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 2.02}, {""window_start"": 51, ""window_end"": 86, ""distance"": 1.64}, {""window_start"": 60, ""window_end"": 89, ""distance"": 1.92}], ""9CKC"": [{""window_start"": 30, ""window_end"": 59, ""distance"": 2.18}, {""window_start"": 342, ""window_end"": 371, ""distance"": 1.59}], ""BCFH"": [{""window_start"": 237, ""window_end"": 272, ""distance"": 1.67}, {""window_start"": 246, ""window_end"": 278, ""distance"": 1.81}, {""window_start"": 276, ""window_end"": 305, ""distance"": 2.08}, {""window_start"": 399, ""window_end"": 431, ""distance"": 1.71}], ""ZBB2"": [{""window_start"": 264, ""window_end"": 293, ""distance"": 2.01}], ""4FH6"": [{""window_start"": 378, ""window_end"": 407, ""distance"": 2.03}], ""KH2X"": [{""window_start"": 447, ""window_end"": 476, ""distance"": 2.06}], ""D2RK"": [{""window_start"": 90, ""window_end"": 119, ""distance"": 2.07}], ""J2RZ"": [{""window_start"": 303, ""window_end"": 335, ""distance"": 2.12}], ""MBKT"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 2.09}]}",0.42,0.55,0.48,0.1237,0.0,0.0,0.0,0.0,0.65,0.918
22,B3BV,18,47,22,15,"{""T4YH"": [{""window_start"": 264, ""window_end"": 296, ""distance"": 1.72}], ""KH2X"": [{""window_start"": 357, ""window_end"": 392, ""distance"": 1.54}], ""DDKT"": [{""window_start"": 15, ""window_end"": 47, ""distance"": 1.47}], ""TTMD"": [{""window_start"": 282, ""window_end"": 314, ""distance"": 1.86}], ""F6RP"": [{""window_start"": 291, ""window_end"": 323, ""distance"": 1.83}], ""YK69"": [{""window_start"": 12, ""window_end"": 41, ""distance"": 1.57}], ""FCG6"": [{""window_start"": 3, ""window_end"": 32, ""distance"": 1.59}], ""J2RZ"": [{""window_start"": 99, ""window_end"": 128, ""distance"": 1.97}, {""window_start"": 288, ""window_end"": 317, ""distance"": 2.16}], ""DF7J"": [{""window_start"": 321, ""window_end"": 350, ""distance"": 2.06}], ""GB4J"": [{""window_start"": 0, ""window_end"": 29, ""distance"": 2.08}], ""GWWD"": [{""window_start"": 300, ""window_end"": 329, ""distance"": 2.09}], ""WY9R"": [{""window_start"": 60, ""window_end"": 89, ""distance"": 2.12}], ""MBBW"": [{""window_start"": 204, ""window_end"": 233, ""distance"": 2.15}], ""HMP2"": [{""window_start"": 12, ""window_end"": 41, ""distance"": 2.17}], ""CTVZ"": [{""window_start"": 12, ""window_end"": 41, ""distance"": 2.19}]}",0.28,0.68,0.48,0.1546,0.0,0.0,0.2833,0.0,0.3417,0.8377
23,MGT4,195,224,31,12,"{""KH2X"": [{""window_start"": 342, ""window_end"": 371, ""distance"": 0.79}], ""TTMD"": [{""window_start"": 315, ""window_end"": 350, ""distance"": 1.69}, {""window_start"": 324, ""window_end"": 353, ""distance"": 1.94}, {""window_start"": 474, ""window_end"": 506, ""distance"": 1.36}], ""T4YH"": [{""window_start"": 228, ""window_end"": 263, ""distance"": 1.38}, {""window_start"": 237, ""window_end"": 266, ""distance"": 1.72}], ""DF7J"": [{""window_start"": 72, ""window_end"": 104, ""distance"": 1.23}], ""X2MP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 1.46}, {""window_start"": 285, ""window_end"": 314, ""distance"": 1.15}], ""F6RP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 1.68}], ""P3XV"": [{""window_start"": 240, ""window_end"": 275, ""distance"": 2.0}, {""window_start"": 249, ""window_end"": 278, ""distance"": 1.53}], ""KYVM"": [{""window_start"": 297, ""window_end"": 329, ""distance"": 1.77}], ""MBKT"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 2.01}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 113, ""distance"": 2.11}], ""9CKC"": [{""window_start"": 366, ""window_end"": 395, ""distance"": 2.1}], ""TTRG"": [{""window_start"": 243, ""window_end"": 272, ""distance"": 2.11}]}",0.39,0.55,0.47,0.1237,0.0,0.0,0.0,0.0,0.1,0.992
24,FCG6,3,32,17,15,"{""GB4J"": [{""window_start"": 0, ""window_end"": 29, ""distance"": 0.99}], ""XT2P"": [{""window_start"": 3, ""window_end"": 32, ""distance"": 1.56}], ""B3BV"": [{""window_start"": 18, ""window_end"": 47, ""distance"": 1.59}], ""J2RZ"": [{""window_start"": 99, ""window_end"": 131, ""distance"": 1.92}], ""HMP2"": [{""window_start"": 12, ""window_end"": 44, ""distance"": 1.95}], ""GPHW"": [{""window_start"": 3, ""window_end"": 32, ""distance"": 1.93}], ""7GZW"": [{""window_start"": 33, ""window_end"": 62, ""distance"": 1.96}], ""GWWD"": [{""window_start"": 33, ""window_end"": 62, ""distance"": 1.97}], ""3D4B"": [{""window_start"": 27, ""window_end"": 56, ""distance"": 2.04}], ""P3XV"": [{""window_start"": 18, ""window_end"": 47, ""distance"": 2.05}], ""T4YH"": [{""window_start"": 264, ""window_end"": 293, ""distance"": 2.06}], ""B3XJ"": [{""window_start"": 0, ""window_end"": 29, ""distance"": 2.08}], ""DF7J"": [{""window_start"": 138, ""window_end"": 167, ""distance"": 2.08}], ""X3KR"": [{""window_start"": 3, ""window_end"": 32, ""distance"": 2.11}], ""DDKT"": [{""window_start"": 15, ""window_end"": 44, ""distance"": 2.14}]}",0.22,0.68,0.45,0.1546,0.158,0.0,0.259,0.0,0.3743,0.7973
25,KH2X,342,371,30,11,"{""MGT4"": [{""window_start"": 195, ""window_end"": 224, ""distance"": 0.79}], ""T4YH"": [{""window_start"": 228, ""window_end"": 263, ""distance"": 1.59}, {""window_start"": 237, ""window_end"": 266, ""distance"": 1.82}], ""TTMD"": [{""window_start"": 318, ""window_end"": 353, ""distance"": 2.0}, {""window_start"": 474, ""window_end"": 506, ""distance"": 1.54}], ""DF7J"": [{""window_start"": 72, ""window_end"": 104, ""distance"": 1.44}], ""X2MP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 1.65}, {""window_start"": 285, ""window_end"": 314, ""distance"": 1.36}], ""F6RP"": [{""window_start"": 276, ""window_end"": 311, ""distance"": 1.66}, {""window_start"": 285, ""window_end"": 314, ""distance"": 2.19}], ""P3XV"": [{""window_start"": 240, ""window_end"": 275, ""distance"": 2.0}, {""window_start"": 249, ""window_end"": 278, ""distance"": 1.53}], ""KYVM"": [{""window_start"": 297, ""window_end"": 329, ""distance"": 1.96}], ""CTVZ"": [{""window_start"": 81, ""window_end"": 113, ""distance"": 2.05}], ""MBKT"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 2.12}], ""H634"": [{""window_start"": 42, ""window_end"": 71, ""distance"": 2.13}]}",0.38,0.5,0.44,0.1134,0.0,0.0,0.0,0.0,0.1333,0.9847
26,BCFH,276,305,24,12,"{""4FH6"": [{""window_start"": 378, ""window_end"": 407, ""distance"": 1.16}], ""TTMD"": [{""window_start"": 303, ""window_end"": 338, ""distance"": 1.73}, {""window_start"": 312, ""window_end"": 347, ""distance"": 2.11}], ""H634"": [{""window_start"": 57, ""window_end"": 89, ""distance"": 1.91}], ""MBKT"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 1.81}], ""GWWD"": [{""window_start"": 228, ""window_end"": 263, ""distance"": 1.99}], ""9CKC"": [{""window_start"": 342, ""window_end"": 377, ""distance"": 2.04}, {""window_start"": 351, ""window_end"": 380, ""distance"": 2.02}], ""3Y4K"": [{""window_start"": 360, ""window_end"": 392, ""distance"": 2.15}, {""window_start"": 483, ""window_end"": 512, ""distance"": 2.02}], ""T4YH"": [{""window_start"": 228, ""window_end"": 257, ""distance"": 2.05}], ""CTVZ"": [{""window_start"": 84, ""window_end"": 113, ""distance"": 2.06}], ""X2MP"": [{""window_start"": 276, ""window_end"": 305, ""distance"": 2.06}], ""RXMC"": [{""window_start"": 159, ""window_end"": 188, ""distance"": 2.07}], ""KYVM"": [{""window_start"": 282, ""window_end"": 311, ""distance"": 2.16}]}",0.3,0.55,0.42,0.1237,1.0,0.0,0.0,0.0,0.5963,0.364
27,3Y4K,387,416,25,11,"{""H634"": [{""window_start"": 42, ""window_end"": 77, ""distance"": 1.46}, {""window_start"": 51, ""window_end"": 83, ""distance"": 1.75}, {""window_start"": 87, ""window_end"": 119, ""distance"": 1.96}], ""MBKT"": [{""window_start"": 39, ""window_end"": 74, ""distance"": 1.91}, {""window_start"": 81, ""window_end"": 113, ""distance"": 2.0}], ""D2RK"": [{""window_start"": 87, ""window_end"": 119, ""distance"": 1.72}], ""9CKC"": [{""window_start"": 33, ""window_end"": 68, ""distance"": 1.96}], ""WY9R"": [{""window_start"": 162, ""window_end"": 194, ""distance"": 1.93}], ""KCDH"": [{""window_start"": 225, ""window_end"": 254, ""distance"": 2.05}], ""T4YH"": [{""window_start"": 276, ""window_end"": 305, ""distance"": 2.12}], ""BCFH"": [{""window_start"": 384, ""window_end"": 413, ""distance"": 2.13}], ""4PFM"": [{""window_start"": 51, ""window_end"": 80, ""distance"": 2.16}], ""TTMD"": [{""window_start"": 366, ""window_end"": 395, ""distance"": 2.17}], ""TTRG"": [{""window_start"": 117, ""window_end"": 146, ""distance"": 2.19}]}",0.32,0.5,0.41,0.1134,0.8337,0.0,0.0,0.0,0.0,0.55
